developer,tier,rera_names,n_projects,emails,phones,licences_cited,hq,is_new
Spice One Builders Pvt Ltd,C,SPICE ONE BUILDERS PVT LTD,1,sales@onecity.in; satviksindhu1999@gmail.com; sjain@onecity.in; udit@onecity.in; vikasrtk@yahoo.com,8018177777; 9540968345,157 OF 2023,,
Sonika Propoerties Pvt. Ltd.,C,SONIKA PROPOERTIES PVT. LTD.,1,compliance@suncityprojects.com; info@suncityprojects.com; ravikant@suncityprojects.com,8814000152; 9354909935; 9654131894; 9654197899,9 OF 2009,,
Sharad Farms & Holding Pvt. Ltd.,C,SHARAD FARMS & HOLDING PVT. LTD.,1,info@suncityprojects.com; manojkumar@suncityprojects.com,8814000152; 9654128122; 9990007071,28 OF 2017,,0
Rissan Buildtech Llp,C,RISSAN BUILDTECH LLP,1,rissanbuildtechllp@gmail.com,7838214128; 8199899994,74 OF 2023,,1
Rishika Green Global Llp,C,RISHIKA GREEN GLOBAL LLP,1,rishikagreengloballlp@gmail.com,7838214128; 9034371488,216 OF 2023,,1
Prima Life Spaces Private Limited,C,PRIMA LIFE SPACES PRIVATE LIMITED,1,info@primalifespaces.com,9354555602,141 OF 2025,,
Prima Land And Housing Llp,C,PRIMA LAND AND HOUSING LLP,1,info@primainfracorp.com,9354555602; 9960816690,68 OF 2023,,1
Patanjali Buildcon Pvt Ltd,C,PATANJALI BUILDCON PVT LTD,1,balawansingh011964@gmail.com; balwansingh011964@gmail.com,9416052563; 9416052663; 9992051241,183 OF 2023,,1
Palm Abodes Infra,C,PALM ABODES INFRA,1,palmabodesinfra@gmail.com,9215299901; 9215553650; 9467948091; 9728720999; 9996120018,81 OF 2025,,1
Palm Abodes Buildon Pvt. Ltd,C,PALM ABODES BUILDON PVT. LTD,1,raveenonly4u@gmail.com,9215230055; 9215299901,169 OF 2022,,
Orange Castle Private Limited,C,ORANGE CASTLE PRIVATE LIMITED,1,krathee687@gmail.com; orange.castle117@gmail.com,7303048602; 9728585915,35 OF 2023,,1
Opg Developers  Private Limited,C,OPG DEVELOPERS  PRIVATE LIMITED,1,guptashu@hotmail.com; info.opgdevelopers@gmail.com; info.shreematgroup@gmail.com,9310130597; 9810479545; 9810547029,123 OF 2025,,1
Om New Era Private Limited,C,OM NEW ERA PRIVATE LIMITED,1,omnewera001@gmail.com; onenewera001@gmail.com,7206670745; 8059513087; 9588376071,104 OF 2025,,1
Nv Residency Llp,C,NV RESIDENCY LLP,1,agtinamit@gmail.com; goyalgourav468@gmail.com; jainmanish9445@gmail.com; manojjain9445@gmail.com; nvresidencyllp@gmail.com; poojajindalca@gmail.com; vijenderca@gmail.com,8199939912; 9034039911; 9315439912; 9728881972; 9810327040; 9810344125; 9813027040; 9813983297,54 OF 2023,,1
Nugraj Developers Llp,C,NUGRAJ DEVELOPERS LLP,1,nugrajdevelopersllp@gmail.com,9311845297; 9811845297,28 OF 2022,,1
M2M Buildtech Pvt. Ltd.,C,M2M BUILDTECH PVT. LTD.,1,aonehomes@yahoo.com; m2mrohtak@gmail.com,8313907929; 9991183000,96 OF 2022,,1
M/S. Suhag Realty,C,M/S. SUHAG REALTY,1,suhagrealty22d@gmail.com,9467113020,152 OF 2023,,
M/S Legend Homes,C,M/S LEGEND HOMES,1,harshmaggu3@gmail.com,9812774133,98 OF 2023,,
Kadian Agro,C,KADIAN AGRO,1,kadainashok148@yahoo.co.in; kadianashok148@yahoo.co.in; kadianashok@yahoo.co.in; lotusenclave35@gmail.com,8717999999; 9416200038; 9650269301; 9856538000,78 OF 2017,,
Jatin Dhawan / Om Developers,C,JATIN DHAWAN / OM DEVELOPERS,1,madhurpanwar94@gmail.com; yashpalpanwar58@gmail.com,9050003033; 9812774133,,,
Informage Realty Private Limited,C,INFORMAGE REALTY PRIVATE LIMITED,1,anil@informage.biz; antayal76@gmail.com; palmdriverohtak@gmail.com; rhtdm.for@gmail.com; swetatayal8@gmail.com,8920324044; 9518827947; 9899914444,43 OF 2018,,
Imperialstone Infraparks Private Limited,C,IMPERIALSTONE INFRAPARKS PRIVATE LIMITED,1,123@gmail.com; bjainvardhman@yahoo.com; harshit66mittal@gmail.com; info.imperialstoneinfraparks@gmail.com; jyash1501@gmail.com; manjeet231303@gmail.com; vineetmittal04@gmail.com,6260245484; 8650928361; 8930009373; 8930049373; 8930099373; 9131170178; 9818436336; 9999131012,249 OF 2025,,1
"Estateofficer,Hsvp Rohtak",C,"ESTATEOFFICER,HSVP ROHTAK",1,cahsvp01@gmail.com; eorohtakhuda2@gmail.com,9812565032,,,
Estate Officer Hsvp Rohtak,C,ESTATE OFFICER HSVP ROHTAK,1,cahuda@gmail.com; eorohtakhuda2@gmail.com; secyhuda@gmail.com,9812562240,,,
Estate Officer,C,ESTATE OFFICER,1,cahsvpo1@gmail.com; eorohtakhuda2@gmail.com; secyhuda@gmail.com; xendiv1.rtk@gmail.com,9215501732; 9812562240; 9812565032,,,
Essel Infra Llp,C,ESSEL INFRA LLP,1,ankit@suncityprojects.com; ea-chairman@suncityprojects.com; info@suncityprojects.com; ravikant@suncityprojects.com; sc.goel@suncityprojects.com,9654131894; 9654197899; 9810656416,100 OF 2021,,1
Eo Hsvp Rohtak,C,EO HSVP ROHTAK,1,cahuda@gmail.com; eorohtakhuda2@gmail.com; secyhuda@gmail.com; xendiv1.rtk@gmail.com,9215501732; 9812562240,,,
Empire South Private Limited,C,EMPIRE SOUTH PRIVATE LIMITED,1,aditya2018@gmail.com; devsg@gmail.com; mlsk1954@gmail.com; spsindia.servises@gmail.com; theempirevalley@gmail.com,7404045742; 9971676767; 9988780145; 9991183000; 9999399405,163 OF 2025,,1
Dhl Infratech Pvt. Ltd.,C,DHL INFRATECH PVT. LTD.,1,dhlinfratech@gmail.com; jogindersinghcoach@gmail.com; jpdpl.in@gmail.com; kuldeep.kumar.tehlan@gmail.com; manjitbamal1@gmail.com,9023210002; 9215556684; 9416042492; 9812155700; 9896063505,83 OF 2017,,0
Cnr Leading Softek Pvt. Ltd,C,CNR LEADING SOFTEK PVT. LTD,1,anubhavsinghal2002@gmail.com; cnr9limited@gmail.com; mohitbinjola1998@gmail.com; pawan3872@yahoo.co.in; singhalakansha@gmail.com,7417824691; 9411884000; 9910078745; 9910784000,86 OF 2018,,0
Bestech Developers Pvt. Ltd.,C,BESTECH DEVELOPERS PVT. LTD.,1,arunrathee80@gmail.com; pankaj.wadhwa83@gmail.cm; ratheeashok02@gmail.com; sachdeva.maneesh@gmail.com; sachinwadhwa611@gmail.com,8750970777; 8750970999; 9812155206; 9813205482; 9896449911,62 OF 2017,,
Arsons Realtors Llp,C,ARSONS REALTORS LLP,1,arsonsgh7@gmail.com; omsons2@gmail.com; parmo.tiles2020@gmail.com; rtcrohtak@gmail.com; sggupta91@gmail.com,9050775775; 9416050212; 9416391191; 9991877666,,,
Arjk Developers Private Limited,C,ARJK DEVELOPERS PRIVATE LIMITED,1,anirudhsharma.irw@gmail.com; kdsharma681@gmail.com; kdsharma@gmail.com,7838909991; 9810122681; 9910110220,108 OF 2023,,1
