LicenseNo,IssueDate,Purpose,Area_acre,DevPlan,Sector,Developer,ValidUpto,licence_active,match_status,match_score,match_why,rera_project,rera_reg_no,rera_promoter
139-141 OF 2007,17/03/2007,CIR,3.73,Panipat,38,Navjyoti Overseas,16/03/2018,False,UNMATCHED,0,,,,
163-171 OF 2007,31/03/2007,RPL,162.48,Panipat,"38,39",ParsvnathDevelopers,30/03/2021,False,UNMATCHED,0,,,,
218 OF 2007,07/09/2007,CIR,5.75,Panipat,40,Herman Fin Properties,06/09/2024,False,UNMATCHED,0,,,,
276 OF 2007,10/12/2007,CIR,2.59,Panipat,40,Herman Fin Properties,09/12/2024,False,UNMATCHED,0,,,,
37 OF 2008,25/02/2008,RGH,16.31,Panipat,19,Splendor Land Base ltd,24/02/2025,False,PARCEL-MATCH,80,name=80+sector,"GROUP HOUSING COLONY, AREA 6.73. RESIDENTIAL",362 OF 2017 DATED 17-11-2017,SPLENDER LANDBASE LTD.
139 OF 2008,08/07/2008,CIR,4.23,Panipat,40,Pat Infrastructure,06/07/2022,False,UNMATCHED,0,,,,
6 OF 2010,14/01/2010,RGH,62.908,Panipat,38,Ambience Projects & Infrastructure Ltd.,13/01/2014 (251.90 acres migrated into L.No. 257 of 2023),False,UNMATCHED,0,,,,
32 OF 2010,20/04/2010,CIS,10.219,Panipat,40,Crown Buildestate LLP,19/04/2014,False,PARCEL-MATCH,100,name=100+sector,THE CONNAUGHT PANIPAT,HRERA-PKL-PNP-619-2024,CROWN BUILDESTATES LLP
40 OF 2011,29/04/2011,RPL,103.24,Panipat,"40,19-A",Lotus Buildtech,28/04/2015,False,UNMATCHED,0,,,,
82 OF 2011,17/09/2011,RPL,7.26,Panipat,19,Ansal Properties & Infrastructure,16/09/2017,False,DEV-MATCH,100,name=100,"SUSHANT GREENS, PANIPAT AREA 22.63 ACRES",355 OF 2017 DATED 17-11-2017,ANSAL PROPERTIES & INFRASTRUCTURE LTD.
121 OF 2012,10/12/2012,RPL,27.918,Panipat,"38,39,36",TDI Infratech Ltd.,12/12/2018,False,PARCEL-MATCH,77,name=77+sector,AREA 70.328 ACRES,40 OF 2017 DATED 10-08-2017,TDI INFRACORP(INDIA) LTD.
5 OF 2017,07/02/2017,RPL,42.41,Panipat,"36, 38 & 39",TDI Infratech Ltd.,06/02/2022,False,PARCEL-MATCH,77,name=77+sector,AREA 70.328 ACRES,40 OF 2017 DATED 10-08-2017,TDI INFRACORP(INDIA) LTD.
27 OF 2013,17/05/2013,RGH,2.049,Panipat,40,Sunbreeze Builders Dev. Ltd.,16/05/2017 (After an area 9.48177 acres migrated into l.no 35 of 2019 dt. 01.03.2019 ),False,PARCEL-MATCH,100,name=100+sector,SHUBHANGAN,HRERA-PKL-PNP-129-2019,SUNBREEZE BUILDERS AND DEVELOPERS PRIVATE LIMITED
78 OF 2014,07/08/2014,RGH,1.74,Panipat,19,Stanza Developers & Infrastructure Pvt Ltd,06/08/2019,False,PARCEL-MATCH,100,name=100+sector,LA REGENCIA PHASE-II,HRERA-PKL-PNP-46-2018,ASTRUM VALUE HOMES PVT. LTD. AND STANZA DEVELOPERS & INFRASTRUCTURE PVT. LTD.
30 OF 2016,29/12/2016,RPL,101.88,Panipat,23,Mahesh Farms Pvt. Ltd.,28/12/2021,False,UNMATCHED,0,,,,
34 OF 2017,16/06/2017,AHP,7.73,Panipat,40,Real Heights Developers Pvt. Ltd.,15/09/2024,False,PARCEL-MATCH,100,name=100+sector,HARMONY HOMES,HRERA-PKL-PNP-4-2018,REAL HEIGHTS DEVELOPERS PVT. LTD.
71 OF 2017,05/09/2017,AHP,5.08339,Panipat,1,Emperium Realty Pvt. Ltd.,04/09/2022,False,PARCEL-MATCH,100,name=100+area,"GROUP HOUSING COLONY, AREA 5.08339 SQ. MTRS. RESIDENTIAL",374 OF 2017 DATED 28-11-2017,EMPERIUM REALTY PVT LTD
35 OF 2019,01/03/2019,DDJAY-APHP,9.48117,Panipat,40,Sunbreeze Builders & Developers Pvt. Ltd.,28/02/2026,False,PARCEL-MATCH,100,name=100+sector,SHUBHANGAN,HRERA-PKL-PNP-129-2019,SUNBREEZE BUILDERS AND DEVELOPERS PRIVATE LIMITED
42 OF 2019,05/03/2019,IPA,8.125,Panipat,,AALISHAN ECO TEXTILE PARK PVT. LTD.,04/03/2029,True,UNMATCHED,0,,,,
3 OF 2020,17/01/2020,DDJAY-APHP,10.71875,Panipat,40,Eldeco Green Park Infrastructure Ltd.,16/01/2025,False,PARCEL-MATCH,100,name=100+sector,ELDECO PARADISO,HRERA-PKL-PNP-299-2022,ELDECO GREEN PARK INFRASTRUCTURE LIMITED
4 OF 2020,17/01/2020,DDJAY-APHP,13.65625,Panipat,40,Eldeco Green Park Infrastructure Ltd.,16/01/2025,False,PARCEL-MATCH,100,name=100+sector,ELDECO PARADISO,HRERA-PKL-PNP-299-2022,ELDECO GREEN PARK INFRASTRUCTURE LIMITED
5 OF 2020,17/01/2020,DDJAY-APHP,10.96875,Panipat,40,Eldeco Green Park Infrastructure Ltd.,16/01/2025,False,PARCEL-MATCH,100,name=100+sector,ELDECO PARADISO,HRERA-PKL-PNP-299-2022,ELDECO GREEN PARK INFRASTRUCTURE LIMITED
16 OF 2021,26/03/2021,IPA,108.00625,Panipat,29II,WAVERLY INFRASTRUCTURE LLP,25/03/2031,True,DEV-MATCH,100,name=100,THE VILLAGE BUSINESS PARK,HRERA-PKL-PNP-321-2022,WAVERLY INFRASTRUCTURE LLP
133 OF 2026,07/07/2026,IPA,14.125,Panipat,NA,WAVERLY INFRASTRUCTURE LLP,06/07/2031,True,DEV-MATCH,100,name=100,THE VILLAGE BUSINESS PARK,HRERA-PKL-PNP-321-2022,WAVERLY INFRASTRUCTURE LLP
65 OF 2021,04/09/2021,DDJAY-APHP,9.28,Panipat,1A,Emperium Realty Pvt. Ltd.,03/09/2026,True,PARCEL-MATCH,100,name=100+sector,"GROUP HOUSING COLONY, AREA 5.08339 SQ. MTRS. RESIDENTIAL",374 OF 2017 DATED 28-11-2017,EMPERIUM REALTY PVT LTD
83 OF 2021,19/10/2021,DDJAY-APHP,13.925,Samalkha,NA,Ms Bhuvan Developer Pvt. Ltd.,18/10/2026,True,DEV-MATCH,100,name=100,SHREE SHYAM ENCLAVE,HRERA-PKL-PNP-287-2022,BHUVAN DEVELOPERS PRIVATE LIMITED
102 OF 2021,08/12/2021,DDJAY-APHP,9.81875,Panipat,39,AAWASONLINE PRIVATE LIMITED,07/12/2026,True,PARCEL-MATCH,100,name=100+sector,HARMONY CITY,HRERA-PKL-PNP-294-2022,AAWASONLINE PRIVATE LIMITED
25 OF 2022,21/03/2022,DDJAY-APHP,16.98958,Panipat,40,JAI KRISHAN BABA PROJECTS JV,20/03/2027,True,UNMATCHED,0,,,,
39 OF 2022,07/04/2022,CPL,3.24,Panipat,17,RANIL HOTEL AND RESORTS PVT. LTD.,06/04/2027,True,PARCEL-MATCH,100,name=100+sector,BENZ SHOPPING DISTRICT-17,HRERA-PKL-PNP-330-2022,RANIL HOTELS AND RESORT PRIVATE LIMITED
77 OF 2022,24/06/2022,DDJAY-APHP,5,Panipat,19,Stanza Developers & Infrastructure Pvt Ltd,23/06/2027,True,PARCEL-MATCH,100,name=100+sector,LA REGENCIA PHASE-II,HRERA-PKL-PNP-46-2018,ASTRUM VALUE HOMES PVT. LTD. AND STANZA DEVELOPERS & INFRASTRUCTURE PVT. LTD.
114 OF 2022,05/08/2022,DDJAY-APHP,10.51,Panipat,40,Emperium Developers Pvt. Ltd.,04/08/2027,True,DEV-MATCH,100,name=100,"GROUP HOUSING COLONY, AREA 5.08339 SQ. MTRS. RESIDENTIAL",374 OF 2017 DATED 28-11-2017,EMPERIUM REALTY PVT LTD
216 OF 2022,29/12/2022,DDJAY-APHP,5.90625,Panipat,40,Emperium Developers Pvt. Ltd.,28/12/2027,True,DEV-MATCH,100,name=100,"GROUP HOUSING COLONY, AREA 5.08339 SQ. MTRS. RESIDENTIAL",374 OF 2017 DATED 28-11-2017,EMPERIUM REALTY PVT LTD
178 OF 2023,01/09/2023,DDJAY-APHP,2.01,Panipat,40,Emperium Developers Pvt. Ltd.,31/08/2028,True,DEV-MATCH,100,name=100,"GROUP HOUSING COLONY, AREA 5.08339 SQ. MTRS. RESIDENTIAL",374 OF 2017 DATED 28-11-2017,EMPERIUM REALTY PVT LTD
134 OF 2022,26/08/2022,DDJAY-APHP,13,Panipat,40,Godrej Projects Development Ltd.,25/08/2027,True,PARCEL-MATCH,100,name=100+sector,EVORA ESTATE B,HRERA-PKL-PNP-807-2025,M/S GODREJ PROJECTS DEVELOPMENT LTD
146 OF 2024,13/11/2024,DDJAY-APHP,8.8,Panipat,40,Godrej Projects Development Ltd.,12/11/2029,True,PARCEL-MATCH,100,name=100+sector,EVORA ESTATE B,HRERA-PKL-PNP-807-2025,M/S GODREJ PROJECTS DEVELOPMENT LTD
178 OF 2022,07/11/2022,DDJAY-APHP,10.63125,Panipat,37,Pushprattan Developers Pvt. Ltd.,06/11/2027,True,PARCEL-MATCH,100,name=100+sector,PARADISE GREENS PANIPAT,HRERA-PKL-PNP-450-2023,PUSHPRATTAN DEVELOPERS PRIVATE LIMITED
58 OF 2023,21/03/2023,DDJAY-APHP,6.375,Panipat,23,Address Infrastructures Pvt. Ltd.,20/03/2028,True,DEV-MATCH,100,name=100,THE ADDRESS PANIPAT,HRERA-PKL-PNP-438-2023,M/S ADDRESS INFRASTRUCTURES PVT. LTD.
85 OF 2023,18/04/2023,DDJAY-APHP,55.72396,Panipat,38,Uttirna Infraprojects Pvt. Ltd.,17/04/2028,True,DEV-MATCH,100,name=100,M3M CITY OF DREAMS II,HRERA-PKL-PNP-523-2023,UTTIRNA INFRAPROJECTS PRIVATE LIMITED
122 OF 2023,05/06/2023,DDJAY-APHP,5.05625,Panipat,39,Suparvesh Developers Pvt. Ltd.,04/06/2028,True,PARCEL-MATCH,100,name=100+sector,SUPARVESH,HRERA-PKL-PNP-518-2023,SUPARVESH BUILDWELL PRIVATE LIMITED
170 OF 2023,23/08/2023,DDJAY-APHP,10.77,Panipat,40,DLF Home Developers Ltd.,22/08/2028,True,PARCEL-MATCH,100,name=100+sector,THE GRAND ENCLAVE,HRERA-PKL-PNP-495-2023,DLF HOME DEVELOPERS LIMITED
257 OF 2023,29/11/2023,NILP,251.9,Panipat,38,Uttirna Infraprojects Pvt. Ltd.,28/11/2028,True,DEV-MATCH,100,name=100,M3M CITY OF DREAMS II,HRERA-PKL-PNP-523-2023,UTTIRNA INFRAPROJECTS PRIVATE LIMITED
08 OF 2024,23/01/2024,DDJAY-APHP,5.21875,Panipat,40,Rishika Creator LLP,22/01/2029,True,PARCEL-MATCH,100,name=100+sector,RISHIKA FLORIANA,HRERA-PKL-PNP-573-2024,RISHIKA CREATOR LLP
11 OF 2024,24/01/2024,DDJAY-APHP,6.583,Panipat,40,Harish Gupta,23/01/2029,True,UNMATCHED,0,,,,
52 OF 2024,14/03/2024,IPA,27.83125,Panipat,,Relhan and Bhatia Industrial,13/03/2029,True,DEV-MATCH,100,name=100,EARTH INDUSTRIAL PARK,HRERA-PKL-PNP-673-2025,M/S RELHAN AND BHATIA INDUSTRIAL WAREHOUSING & LOGISTIC PARK
53 OF 2024,15/03/2024,CPL,10.21875,Panipat,40,Crown Buildestates LLP,14/03/2029,True,PARCEL-MATCH,100,name=100+sector,THE CONNAUGHT PANIPAT,HRERA-PKL-PNP-619-2024,CROWN BUILDESTATES LLP
114 OF 2024,08/08/2024,DDJAY-APHP,2.049,Panipat,40,Sunbreeze Builders & Developers Pvt. Ltd.,07/08/2029,True,PARCEL-MATCH,100,name=100+sector,SHUBHANGAN,HRERA-PKL-PNP-129-2019,SUNBREEZE BUILDERS AND DEVELOPERS PRIVATE LIMITED
147 OF 2024,13/11/2024,DDJAY-APHP,23.7562,Panipat,40,Godrej Projects Development Ltd.,12/11/2029,True,PARCEL-MATCH,100,name=100+sector,EVORA ESTATE B,HRERA-PKL-PNP-807-2025,M/S GODREJ PROJECTS DEVELOPMENT LTD
148 OF 2024,13/11/2024,DDJAY-APHP,21.927,Panipat,40,JAI KRISHAN BABA PROJECTS JV,12/11/2029,True,UNMATCHED,0,,,,
161 OF 2024,20/11/2024,DDJAY-APHP,9.3125,Panipat,40,Jay Shiva Earthmovers  and construction Pvt. Ltd.,19/11/2029,True,PARCEL-MATCH,100,name=100+sector,MAXVEL CEREMONY CITY,HRERA-PKL-PNP-682-2025,JAY SHIVA EARTHMOVERS AND CONSTRUCTION PRIVATE LIMITED
166 OF 2024,28/11/2024,RPL,21.36875,Panipat,19A,Ralith Realty Private Limited,27/07/2030,True,PARCEL-MATCH,100,name=100+sector,RALITH RETREAT,HRERA-PKL-PNP-789-2025,RALITH REALTY PVT. LTD.
63 OF 2026,07/04/2026,RPL,32,Panipat,19A,Ralith Realty Private Limited,06/04/2031,True,PARCEL-MATCH,100,name=100+sector,RALITH RETREAT,HRERA-PKL-PNP-789-2025,RALITH REALTY PVT. LTD.
187 OF 2024,16/12/2024,DDJAY-APHP,9.74062,Panipat,39,Suparvesh Developers Pvt. Ltd.,15/12/2029,True,PARCEL-MATCH,100,name=100+sector,SUPARVESH,HRERA-PKL-PNP-518-2023,SUPARVESH BUILDWELL PRIVATE LIMITED
193 OF 2024,30/12/2024,IPL,28.9986,Panipat,NA,KUBER SPINTAX PVT. LTD.,29/12/2029,True,DEV-MATCH,86,name=86,MANSAROVER INDUSTRIAL PARK,HRERA-PKL-PNP-707-2025,M/S KUBER SPINTEX PVT LTD
36 OF 2025,24/03/2025,IPL,18.55,Panipat,NA,Vedya Meditech Pvt. Ltd.,23/03/2030,True,DEV-MATCH,100,name=100,VEDYA INDUSTRIAL PARK,HRERA-PKL-PNP-719-2025,VEDYA MEDITECH PRIVATE LIMITED
80 OF 2025,27/05/2025,IPA,20.3125,Panipat,NA,Parachute Buildtech LLP,26/05/2030,True,DEV-MATCH,100,name=100,RISHIKA INDUSTRIAL PARK,HRERA-PKL-PNP-767-2025,PARACHUTE BUILDTECH LLP
89 OF 2025,04/06/2025,IPL,25.20937,Panipat,32A,Benz Realty,03/06/2030,True,DEV-MATCH,100,name=100,GEM INDUSTRIAL TOWNSHIP,HRERA-PKL-PNP-765-2025,BENZ REALTY
110 OF 2025,02/07/2025,DDJAY-APHP,6.7552,Panipat,40,M S INFRA PRIVATE LIMITED,01/07/2030,True,UNMATCHED,0,,,,
111 OF 2025,02/07/2025,IPA,30.46875,Panipat,NA,RG Home Furnishing Pvt. Ltd.,01/07/2030,True,UNMATCHED,0,,,,
147 OF 2025,14/08/2025,CIR,3.91875,Panipat,38,Uttirna Infraprojects Pvt. Ltd.,13/08/2030,True,DEV-MATCH,100,name=100,M3M CITY OF DREAMS II,HRERA-PKL-PNP-523-2023,UTTIRNA INFRAPROJECTS PRIVATE LIMITED
223 OF 2025,14/11/2025,IPA,29.3,Panipat,NA,Panipat Industrial Park,13/11/2030,True,DEV-MATCH,100,name=100,SIGMA INDUSTRIAL PARK - PANIPAT,HRERA-PKL-PNP-876-2026,PANIPAT INDUSTRIAL PARK
242 OF 2025,04/12/2025,NILP,59.77084,Panipat,40,TRIDENT PARK TOWN PRIVATE LIMITED,03/12/2030,True,DEV-MATCH,100,name=100,TRIDENT PARKTOWN 1,HRERA-PKL-PNP-819-2026,TRIDENT PARK TOWN PRIVATE LIMITED
68 OF 2026,20/04/2026,IPA,25.23125,Panipat,,Summit Developers,19/04/2031,True,DEV-MATCH,100,name=100,ACRES BY AURA INDUSTRIAL ESTATE,HRERA-PKL-PNP-956-2026,SUMMIT DEVELOPERS
79 OF 2026,01/05/2026,IPL,28.3611,Panipat,NA,PRIME INDUSTRIAL PARK,30/04/2031,True,DEV-MATCH,100,name=100,SIGMA INDUSTRIAL PARK PANIPAT PHASE 2,HRERA-PKL-PNP-931-2026,PRIME INDUSTRIAL PARK
87 OF 2026,08/05/2026,DDJAY-APHP,14.39375,Panipat,39,SAMISHA INFRASPACE LLP,07/05/2031,True,PARCEL-MATCH,100,name=100+sector,GARDEN CITY,HRERA-PKL-PNP-930-2026,SAMISHA INFRASPACE LLP
148 OF 2026,20/07/2026,RGH,1.6125,Panipat,7,Aurrum Crest Pvt. Ltd.,21/07/2031,True,UNMATCHED,0,,,,
159 OF 2026,10/08/2026,NILP,64.30833,Panipat,40,TRIDENT PARK TOWN PRIVATE LIMITED,09/08/2031,True,DEV-MATCH,100,name=100,TRIDENT PARKTOWN 1,HRERA-PKL-PNP-819-2026,TRIDENT PARK TOWN PRIVATE LIMITED
159 OF 2026,10/08/2026,NILP,64.30833,Panipat,40,TRIDENT PARK TOWN PRIVATE LIMITED,09/08/2031,True,DEV-MATCH,100,name=100,TRIDENT PARKTOWN 1,HRERA-PKL-PNP-819-2026,TRIDENT PARK TOWN PRIVATE LIMITED
