developer,tier,rera_names,n_projects,emails,phones,licences_cited,hq,is_new
Himalayan Builders And Promoters Limited,C,HIMALAYAN BUILDERS AND PROMOTERS LIMITED,1,contact@himalayanbuilders.in; na@gmail.com,9896669964,190 OF 2023,,0
Haryana Promoters Private Limited,C,HARYANA PROMOTERS PRIVATE LIMITED,1,arunbjp00@gmail.com; govind765@gmail.com; haryanapromoters@gmail.com; jdverma400@gmail.com; kapilmendiratta@gmail.com; rozymendi@gmail.com,7984370743; 8010203375; 8950200040; 9717409276; 9810011522; 9811227796,,New Delhi,1
Gsm Estates Private Limited,C,GSM ESTATES PRIVATE LIMITED,1,gsmestates22@gmail.com,9518010000; 9996002882,159 OF 2023,,1
GOLF LINK PROJECTS PVT. LTD.,,GOLF LINK PROJECTS PVT. LTD.,1,info@golflinkprojects.com,9517770043,198 OF 2023,,
G Estate Private Limited,C,G ESTATE PRIVATE LIMITED,1,g.estatepvtltd@gmail.com,9215701244; 9215734544; 9215750244; 9215750431,149 OF 2022; 160 OF 2025,,1
Esmax Infradevelopers Pvt Ltd,C,ESMAX INFRADEVELOPERS PVT LTD,1,mkgupta690@gmail.com,9354915377; 9896094990,121 OF 2021,,1
Eden Slf Residency,C,EDEN SLF RESIDENCY,1,ajaymadan@slf.in; edeninfra@gmail.com; edenslf95@gmail.com,8950017700; 9810855773; 9811154531; 9811457255,74 OF 2017,,0
Dyalprime Builders Private Limited,C,DYALPRIME BUILDERS PRIVATE LIMITED,1,dyalprimebuilders@gmail.com,9888656528,146 OF 2023; 224 OF 2023,,0
Daa Home Realtors Private Limited,C,DAA HOME REALTORS PRIVATE LIMITED,1,daahome21@gmail.com,9896253992,33 OF 2024,,1
CITITECH TOWNSHIPS (P) LTD.,,CITITECH TOWNSHIPS (P) LTD.,1,cititechestates@rediffmail.com; cititechtownships@gmail.com; vikas_sanghi@rediffmail.com,9034872853; 9254132003; 9729312666; 9729854201; 9811040121,77 OF 2011,,
Blissfull Estates Llp,C,BLISSFULL ESTATES LLP,1,blissfullestates25@gmail.com; pawan@slotcogroup.com; rosevilla7@gmail.com,8569983155; 9560293333; 9560407434; 9810807434; 9899698786,62 OF 2018,,0
Arman Residency,C,ARMAN RESIDENCY,1,amit.7000@rediffmail.com; armaanresidency2025@gmail.com; bmunjal11@gmail.com; gurdeepsohi4866@gmail.com; shally.sandhu@gmail.com,9812430000; 9813527276; 9896302309; 9896332500,05 OF 2024,,1
Armaan Enclave,C,ARMAAN ENCLAVE,1,gurdeepsohi4866@gmail.com,9813527276,142 OF 2023,,0
Anant Kripa Developers Private Limited,C,ANANT KRIPA DEVELOPERS PRIVATE LIMITED,1,anantkripadevelopers@gmail.com; na@gmail.com; pardeepkumarkat@gmail.com; rajivsuri95@gmail.com; rohitwadhwa123@gmail.com; sahilsudha27@hotmail.com,9466000005; 9896037179; 9896248614; 9896298964; 9999999999,,,0
Alliance Texofab Private Limited,C,ALLIANCE TEXOFAB PRIVATE LIMITED,1,anilbhatiag17@gmail.com; anilbhatiag18@gmail.com; bhatia_mukul1993@yahoo.com; na@gmail.com; repgroupindustrial@gmail.com,8929747375; 9215805017; 9416205017,11 OF 2025,,0
Aegis Value Homes Ltd.,C,AEGIS VALUE HOMES LTD.,1,aegiskarnal@gmail.com; dhamija_rajat@yahoo.com; diveydhamija@gmail.com; rajdhamija@yahoo.com; smarthomes2021@yahoo.com; vikassingh680@gmail.com,7206033233; 8527056024; 9215512111; 9315011107; 9991777770,02 OF 2016; 2 OF 2016,,0
Ab Greenvalleys Llp,C,AB GREENVALLEYS LLP,1,abgreenvalleysllp@gmail.com,9999654799,8 OF 2019,,0
AARIZE TOWNSHIP LLP,,AARIZE TOWNSHIP LLP,1,info@karnelya.in; karnelya2025@gmail.com,8448286291; 8527563355; 9289349182,206 OF 2025,,
