LicenseNo,IssueDate,Purpose,Area_acre,DevPlan,Sector,Developer,ValidUpto,licence_active,match_status,match_score,match_why,rera_project,rera_reg_no,rera_promoter
30 OF 2021,25/06/2021,DDJAY-APHP,2.8,KARNAL,29,Alpha Corp. Development Pvt. Ltd.,22/06/2026,False,PARCEL-MATCH,100,name=100+sector,AVENUE 29,HRERA-PKL-KRL-247-2021,ALPHA CORP DEVELOPMENT PRIVATE LIMITED
8 OF 2018,29/01/2018,DDJAY-APHP,9.26875,KARNAL,29,ALPHA CORP DEVELOPMENT LIMITED,28/01/2023,False,PARCEL-MATCH,100,name=100+sector,AVENUE 29,HRERA-PKL-KRL-247-2021,ALPHA CORP DEVELOPMENT PRIVATE LIMITED
19 OF 2018,06/03/2018,DDJAY-APHP,15,KARNAL,28A,MAA VAISHNO NET-TECH PVT. LTD.,05/03/2023,False,PARCEL-MATCH,100,name=100+area,"SIGNATURE GLOBAL CITY-II, LAND MEASURING ""15 ACRES""","HRERA-PKL-KNL-26-2018 , DATED 20-07-2018",MAA VAISHNO NET-TECH PVT. LTD.
21 OF 2018,20/03/2018,DDJAY-APHP,15,KARNAL,28A,FANTABULOUS TOWN PLANNERS PVT. LTD.,19/03/2023,False,UNMATCHED,0,,,,
23 OF 2018,18/04/2018,DDJAY-APHP,14,KARNAL,28A,Alpha Corp. Development Pvt. Ltd.,17/04/2023,False,DEV-MATCH,100,name=100,AREA 4.1055 ACRES COMMERCIAL COLONY,369 OF 2017 DATED 24-11-2017,ALPHA CORP DEVELOPMENT PVT LTD
30 OF 2022,22/03/2022,DDJAY-APHP,2.85,KARNAL,28A,Alpha Corp. Development Pvt. Ltd.,21/03/2027,True,DEV-MATCH,100,name=100,AREA 4.1055 ACRES COMMERCIAL COLONY,369 OF 2017 DATED 24-11-2017,ALPHA CORP DEVELOPMENT PVT LTD
24 OF 2018,18/04/2018,DDJAY-APHP,5.09375,KARNAL,29,ALPHACORP DEVELOPMENT PVT. LTD.,17/04/2023,False,PARCEL-MATCH,98,name=98+sector,AVENUE 29,HRERA-PKL-KRL-247-2021,ALPHA CORP DEVELOPMENT PRIVATE LIMITED
48 OF 2018,05/07/2018,DDJAY-APHP,14.60833,KARNAL,34,JTPL Pvt. Ltd.,04/07/2023,False,UNMATCHED,0,,,,
49 OF 2018,12/07/2018,DDJAY-APHP,12.20833,KARNAL,36,Ansal Housing & Construction Pvt. Ltd,11/07/2023,False,PARCEL-MATCH,100,name=100+sector,ANSAL TOWN KARNAL (DDJAY SCH-1),HRERA-PKL-KNL-44-2018,ANSAL HOUSING & CONSTRUCTION LTD.
50 OF 2018,12/07/2018,DDJAY-APHP,6.63541,KARNAL,36,Ansal Housing & Construction Pvt. Ltd,11/07/2023,False,PARCEL-MATCH,100,name=100+sector,ANSAL TOWN KARNAL (DDJAY SCH-1),HRERA-PKL-KNL-44-2018,ANSAL HOUSING & CONSTRUCTION LTD.
54 OF 2018,14/08/2018,DDJAY-APHP,7.26875,NILOKHERI AND TARAORI,5,RG CITY DEVELOPERS PVT. LTD.,13/08/2023,False,PARCEL-MATCH,100,name=100+sector,RAS VILLA'S,HRERA-PKL-KNL-59-2018,RG CITY DEVELOPERS PVT LTD
61 OF 2018,07/09/2018,DDJAY-APHP,13.76875,NILOKHERI AND TARAORI,1,MG Estate Pvt. Ltd.,06/09/2023,False,UNMATCHED,0,,,,
62 OF 2018,07/09/2018,DDJAY-APHP,14.04375,NILOKHERI AND TARAORI,1,Blissfull Estates LLP,06/09/2027,True,PARCEL-MATCH,100,name=100+sector,SLOTCO EXPERIA,HRERA-PKL-KRL-915-2026,BLISSFULL ESTATES LLP
64 OF 2018,14/09/2018,DDJAY-APHP,12.79375,KARNAL,45,CHD Developers Ltd,13/09/2023,False,PARCEL-MATCH,100,name=100+sector,PLOTTED COLONY AREA 11.906 ACRES,176 OF 2017 DATED 31-08-2017,M/S CHD DEVELOPERS LTD
67 OF 2018,20/09/2018,DDJAY-APHP,13.975,NILOKHERI AND TARAORI,1,RBA Realcon Pvt. Ltd.,19/09/2027,True,PARCEL-MATCH,100,name=100+sector,RBA HOMETOWN,HRERA-PKL-KRL-555-2024,RBA REALCON PRIVATE LIMITED
76 OF 2018,17/11/2018,DDJAY-APHP,13.96875,NILOKHERI AND TARAORI,1,RBA Homes Pvt. Ltd.,16/11/2023,False,PARCEL-MATCH,100,name=100+sector,RBA UPTOWN,HRERA-PKL-KRL-556-2024,RBA HOMES PRIVATE LIMITED
88 OF 2018,14/12/2018,DDJAY-APHP,5.975,KARNAL,32,Aegis Skyhigh Housing Corporation Pvt. Ltd.,13/12/2023,False,PARCEL-MATCH,100,name=100+sector,AEGIS SKYHIGH HOUSING CORPORATION PRIVATE LIMITED,HRERA-PKL-KNL-188-2020,AEGIS SKYHIGH HOUSING CORPORATION PRIVATE LIMITED
7 OF 2019,30/01/2019,DDJAY-APHP,15,NILOKHERI AND TARAORI,1,Slotco Buildwell LLP,29/01/2027,True,PARCEL-MATCH,100,name=100+sector,SLOTCO IMPERIA,HRERA-PKL-KRL-603-2024,SLOTCO BUILDWELL LLP
8 OF 2019,30/01/2019,DDJAY-APHP,8.26256,NILOKHERI AND TARAORI,1,AB Greenvalleys LLP,29/01/2027,True,PARCEL-MATCH,100,name=100+sector,JDS GREENS,HRERA-PKL-KRL-640-2024,AB GREENVALLEYS LLP
74 OF 2019,22/07/2019,DDJAY-APHP,5.725,KARNAL,34,JTPL Pvt. Ltd.,21/07/2024,False,UNMATCHED,0,,,,
92 OF 2019,09/08/2019,DDJAY-APHP,5,KARNAL,35,VAASTU INFRATECH PVT. LTD.,08/08/2024,False,PARCEL-MATCH,100,name=100+sector,GREEN VILLE,HRERA-PKL-KNL-181-2019,VAASTU INFRATECH PVT LTD
96 OF 2019,20/08/2019,DDJAY-APHP,5.57291,KARNAL,35,RAJDARBAR BUILDERS PRIVATE LIMITED,19/08/2026,True,PARCEL-MATCH,100,name=100+sector,RAJDARBAR SPACES,HRERA-PKL-KNL-166-2019,RAJDARBAR BUILDERS PRIVATE LIMITED
41 OF 2022,07/04/2022,DDJAY-APHP,6.21875,KARNAL,36,RAJDARBAR BUILDERS PRIVATE LIMITED,06/04/2027,True,DEV-MATCH,100,name=100,RAJDARBAR SPACES,HRERA-PKL-KNL-166-2019,RAJDARBAR BUILDERS PRIVATE LIMITED
15 OF 2021,12/03/2021,DDJAY-APHP,10.28194,KARNAL,29,Alpha Corp. Development Pvt. Ltd.,11/03/2026 0.819 ACRES migrated from LC-632B(948-955 of 2016),False,PARCEL-MATCH,100,name=100+sector,AVENUE 29,HRERA-PKL-KRL-247-2021,ALPHA CORP DEVELOPMENT PRIVATE LIMITED
70 OF 2021,17/09/2021,DDJAY-APHP,5.4875,KARNAL,29,MORINGA DEVELOPERS PRIVATE LIMITED,16/09/2026,True,PARCEL-MATCH,100,name=100+sector,MORINGA DEVELOPERS PVT. LTD.,HRERA-PKL-KRL-325-2022,MORINGA DEVELOPERS PRIVATE LIMITED
78 OF 2021,01/09/2021,DDJAY-APHP,6.363,KARNAL,45,RCNP BUILDERS & DEVELOPERS PRIVATE LIMITED,30/09/2026,True,PARCEL-MATCH,100,name=100+sector,SAI RESIDENCY,HRERA-PKL-KRL-291-2022,RCNP BUILDERS & DEVELOPERS PVT LTD & SH. DINESH KUMAR
108 OF 2021,17/12/2021,CPL,4.1055,KARNAL,28,Alpha Corp. Development Pvt. Ltd.,16/12/2026,True,PARCEL-MATCH,100,name=100+area+sector,AREA 4.1055 ACRES COMMERCIAL COLONY,369 OF 2017 DATED 24-11-2017,ALPHA CORP DEVELOPMENT PVT LTD
114 OF 2021,23/12/2021,CPL,3.13125,KARNAL,45,RAS BUILDWELL PVT LTD,22/12/2026,True,UNMATCHED,0,,,,
121 OF 2021,31/12/2021,CPL,2.325,KARNAL,32,ESMAX INFRADEVELOPERS PRIVATE LIMITED,30/12/2026,True,PARCEL-MATCH,100,name=100+sector,32 EMPORIO,HRERA-PKL-KRL-328-2022,ESMAX INFRADEVELOPERS PVT LTD
27 OF 2022,22/03/2022,CPL,4.286,KARNAL,28,Alpha Corp. Development Pvt. Ltd.,21/03/2027,True,PARCEL-MATCH,100,name=100+sector,AREA 4.1055 ACRES COMMERCIAL COLONY,369 OF 2017 DATED 24-11-2017,ALPHA CORP DEVELOPMENT PVT LTD
29 OF 2022,22/03/2022,CPL,4.23263,KARNAL,28,Alpha Corp. Development Pvt. Ltd.,21/03/2027,True,PARCEL-MATCH,100,name=100+sector,AREA 4.1055 ACRES COMMERCIAL COLONY,369 OF 2017 DATED 24-11-2017,ALPHA CORP DEVELOPMENT PVT LTD
36 OF 2022,07/04/2022,DDJAY-APHP,18.9978,KARNAL,35,RAJDARBAR BUILDERS PRIVATE LIMITED,06/04/2027,True,PARCEL-MATCH,100,name=100+sector,RAJDARBAR SPACES,HRERA-PKL-KNL-166-2019,RAJDARBAR BUILDERS PRIVATE LIMITED
08 OF 2026,12/01/2026,DDJAY-APHP,8.25,KARNAL,35,RAJDARBAR BUILDERS PRIVATE LIMITED,11/01/2031,True,PARCEL-MATCH,100,name=100+sector,RAJDARBAR SPACES,HRERA-PKL-KNL-166-2019,RAJDARBAR BUILDERS PRIVATE LIMITED
104 OF 2022,28/07/2022,DDJAY-APHP,11.15,KARNAL,45,ARV Builders,27/07/2027,True,PARCEL-MATCH,100,name=100+sector,ALAKNANDA AVENUE,HRERA-PKL-KRL-486-2023,ARV BUILDERS
107 OF 2022,05/08/2022,DDJAY-APHP,11.81875,NILOKHERI AND TARAORI,16,USG Buildcon Pvt. Ltd.,04/08/2027,True,PARCEL-MATCH,100,name=100+sector,US CITY,HRERA-PKL-KRL-405-2023,USG BUILDCON PRIVATE LIMITED
148 OF 2022,22/09/2022,DDJAY-APHP,6.7388,KARNAL,29,Sh. Vishal Jain Son of Sh. Vinod Jain,21/09/2027,True,PARCEL-MATCH,100,name=100+sector,VISHAL KUMAR JAIN,Not Issued Yet,VISHAL JAIN
149 OF 2022,29/09/2022,DDJAY-APHP,9.9625,NILOKHERI AND TARAORI,5,G. Estate Pvt. Ltd.,28/09/2027,True,PARCEL-MATCH,100,name=100+sector,GALAXY MIDTOWN,HRERA-PKL-KRL-828-2026,G ESTATE PRIVATE LIMITED
160 OF 2025,29/08/2025,DDJAY-APHP,3.95,NILOKHERI AND TARAORI,5,G. Estate Pvt. Ltd.,28/08/2030,True,PARCEL-MATCH,100,name=100+sector,GALAXY MIDTOWN,HRERA-PKL-KRL-828-2026,G ESTATE PRIVATE LIMITED
218 OF 2022,29/12/2022,DDJAY-APHP,5.087,KARNAL,28A,Alpha Corp. Development Pvt. Ltd.,28/12/2027,True,DEV-MATCH,100,name=100,AREA 4.1055 ACRES COMMERCIAL COLONY,369 OF 2017 DATED 24-11-2017,ALPHA CORP DEVELOPMENT PVT LTD
20 OF 2023,02/02/2023,DDJAY-APHP,5.0058,KARNAL,45,RCNP BUILDERS & DEVELOPERS PRIVATE LIMITED,01/02/2028,True,PARCEL-MATCH,100,name=100+sector,SAI RESIDENCY,HRERA-PKL-KRL-291-2022,RCNP BUILDERS & DEVELOPERS PVT LTD & SH. DINESH KUMAR
84 OF 2023,18/04/2023,IPA,29.1125,Karnal,,Privado Infra Private Limited,17/04/2028,True,DEV-MATCH,100,name=100,UNNAT INDUSTRIAL PARK,HRERA-PKL-KRL-529-2023,PRIVADO INFRA PRIVATE LIMITED
142 OF 2023,11/07/2023,DDJAY-APHP,5,KARNAL,45,Gurdeep Singh,10/07/2028,True,SPV-MATCH?,40,name=40+area,RIDHI SIDHI AVENUE AREA 5.093 ACRES,HRERA-PKL-KNL-40-2018,RIDHISIDHI EMPIRES PVT LTD.
146 OF 2023,17/07/2023,DDJAY-APHP,5.625,KARNAL,29,Sukh Dayal,16/07/2028,True,SPV-MATCH?,40,name=40+area,SMART  HOMES KARNAL AREA 5.6534 ACRES,265 OF 2017 DATED 09-10-2017,AEGIS VALUE HOMES LTD.
224 OF 2023,30/10/2023,DDJAY-APHP,3.375,KARNAL,29,Sukh Dayal,29/10/2028,True,UNMATCHED,0,,,,
159 OF 2023,10/08/2023,DDJAY-APHP,6,KARNAL,29,GSM ESTATES PVT. LTD.,09/08/2028,True,PARCEL-MATCH,100,name=100+sector,GSM ESTATES,HRERA-PKL-KRL-515-2023,GSM ESTATES PRIVATE LIMITED
190 OF 2023,15/09/2023,IPA,36.325,GHARAUNDA,NA,Himalayan Builders and Promotors Limited,14/09/2028,True,DEV-MATCH,100,name=100,NYSA PANIPAT INDUSTRIAL PARK,HRERA-PKL-KRL-516-2023,HIMALAYAN BUILDERS AND PROMOTERS LIMITED
198 OF 2023,05/10/2023,DDJAY-APHP,9.3,KARNAL,34,Golf Link Projects Pvt. Ltd.,04/10/2028,True,PARCEL-MATCH,100,name=100+sector,GOLF LINKS (PHASE-I),HRERA-PKL-KRL-541-2024,GOLF LINK PROJECTS PVT. LTD.
236 OF 2023,26/10/2023,CPL,2.94,KARNAL,32,Partap Infradevelopers Pvt. Ltd.,25/10/2028,True,UNMATCHED,0,,,,
12 OF 2024,24/01/2024,CPL,2,NILOKHERI AND TARAORI,14,Madhuban Colonizers Pvt. Ltd.,23/01/2029,True,PARCEL-MATCH,100,name=100+sector,ORANGE PRIME CITY,HRERA-PKL-KRL-649-2025,M/S MADHUBAN COLONIZERS PVT LTD
33 OF 2024,29/02/2024,DDJAY-APHP,25.0125,INDRI,7,MS DAA HOME REALTORS PVT LTD,28/02/2029,True,PARCEL-MATCH,100,name=100+sector,DAA HOME PALM DRIVE,HRERA-PKL-KRL-600-2024,DAA HOME REALTORS PRIVATE LIMITED
41 OF 2024,11/03/2024,DDJAY-APHP,6.22031,NILOKHERI AND TARAORI,14,Madhuban Colonizers Pvt. Ltd.,11/03/2029,True,PARCEL-MATCH,100,name=100+sector,ORANGE PRIME CITY,HRERA-PKL-KRL-649-2025,M/S MADHUBAN COLONIZERS PVT LTD
46 OF 2024,13/03/2024,DDJAY-APHP,5.95625,ASSANDH,5,Metropole Buildtech Pvt. Ltd.,12/03/2029,True,PARCEL-MATCH,100,name=100+sector,METROPOLE-THE GARDEN CITY,HRERA-PKL-KRL-599-2024,METROPOLE BUILDTECH PRIVATE LIMITED
56 OF 2024,16/03/2024,CPL,2,NILOKHERI AND TARAORI,16,White Stone Habitat,15/03/2029,True,UNMATCHED,0,,,,
60 OF 2024,10/06/2024,RPL,24.86875,KARNAL,29,HARYANA PROMOTERS PVT. LTD.,09/06/2029,True,DEV-MATCH,100,name=100,AMANTRA GREENS,HRERA-PKL-KRL-681-2025,HARYANA PROMOTERS PRIVATE LIMITED
68 OF 2024,19/06/2024,DDJAY-APHP,20.6,NILOKHERI AND TARAORI,16,KCG Resorts Pvt. Ltd.,18/06/2029,True,PARCEL-MATCH,82,name=82+sector,OPS DIVINE GREENS,HRERA-PKL-KRL-621-2024,K C G RESORTS PRIVATE LIMITED
151 OF 2024,15/11/2024,DDJAY-APHP,6.4875,KARNAL,29,RCNP BUILDERS & DEVELOPERS PRIVATE LIMITED,14/11/2029,True,PARCEL-MATCH,100,name=100+sector,"SAI RESIDENCY, SECTOR 29",HRERA-PKL-KRL-715-2025,RCNP BUILDERS AND DEVELOPERS PVT. LTD.
173 OF 2024,05/12/2024,CPL,2,NILOKHERI AND TARAORI,16,White Stone Habitats Pvt. Ltd.,04/12/2029,True,UNMATCHED,0,,,,
