developer,tier,rera_names,n_projects,emails,phones,licences_cited,hq,is_new
Nugraj Dream Builders Private Limited,C,NUGRAJ DREAM BUILDERS PRIVATE LIMITED,2,nugrajjain@gmail.com,9811845297,"105 OF 2024,119 OF 2024",,1
Nextra Developers Llp,C,NEXTRA DEVELOPERS LLP,2,ajay615gahlawat@gmail.com; ankitbansal@nextradevelopers.com; gauravbansal@nextradevelopers.com; info@nextradevelopers.com; nextracity@gmail.com; nikhilbansal@nextradevelopers.com,9582222250; 9899024334; 9958080056; 9992220621; 9999359873,"24 OF 2017,06 OF 2023",,0
Mansha Buildcon Pvt. Ltd.,C,MANSHA BUILDCON PVT. LTD.,2,malikassociates@gmail.com; malikassociates@gmal.com,8447129022; 9810855773,"266 OF 2023,191 OF 2024; 266 OF 2023",,1
M/S Shri Ram Sharanam Consultants Pvt. Ltd.,C,M/S SHRI RAM SHARANAM CONSULTANTS PVT. LTD.,2,abc@xyz.com; info@shriramsharanam.com,8130189595; 9416440421,"203 OF 2022,31 OF 2023",,
Indiabulls Estate Ltd,C,"INDIABULLS ESTATE LTD.,INDIABULLS ESTATE LTD",2,abc@gmail.com; abhishekgupta1@indiabulls.com; ashish.kaushik@indiabulls.com; ibreal_rc_ggn@indiabulls.com; indiabulls_el_plot@indiabulls.com; kapil.s6@indiabulls.com; manoj.k81@indiabulls.com; mjohnson@indiabulls.com; partsharma@indiabulls.com; praveen.kumar@indiabulls.com; savirk@indiabulls.com; vishnu.prabhakar@indiabulls.com; vivek.k53@indiabulls.com,8368996776; 8375085182; 8826141246; 9212023931; 9212651215; 9466522838; 9654124613; 9729783372; 9867711110; 9872179470; 9891656865; 9990659449,"70 OF 2009,99 OF 2021",,0
Gpb Trading Llp,C,GPB TRADING LLP,2,gpbtradingllp@gmail.com; ppgreensonipat@gmail.com; puribuildwell@yahoo.com; puridevelopers@yahoo.com; rpgroup4@gmail.com,7400007498; 9711232765; 9810038964; 9811169192; 9811418997; 9819906900; 9891990690; 9899929009; 9911499494,"149 OF 2023,24 OF 2014",,1
Eldeco Infracon Realtors Limited,C,ELDECO INFRACON REALTORS LIMITED,2,ajaykumar@eldecoproperties.com; secretarial@eldecoproperties.com; sunny.arora@eldecoproperties.com; upesh.sharma@eldecoproperties.com; varun.kapoor@eldecoproperties.com,8708736550; 9810946102; 9818871148,181 OF 2023,,1
Eldeco Green Park Infrstructure Limited,C,ELDECO GREEN PARK INFRSTRUCTURE LIMITED,2,sanjay.kumar@eldecoproperties.com; secretarial@eldecoproperties.com,9810123456; 9810946102; 9818871148,109 OF 2023,,
Creative Buildwell Private Limited,C,"CREATIVE BUILDWELL PVT. LTD.,CREATIVE BUILDWELL PRIVATE LIMITED",2,info@tulipcity.in; projects@tulipcity.in,8595944711; 8595944715; 9871591398,"31 OF 2020,52 OF 2022",,1
ANSAL PROPERTIES AND INFRASTRUCTURE LIMITED,,ANSAL PROPERTIES AND INFRASTRUCTURE LIMITED,2,ansalreraharyana@gmail.com,9166302308; 9971261611; 9996882414,"10 OF 2020,120 OF 2019",,
ANSAL PROPERTIES & INFRASTRUCTURE LIMITED,,ANSAL PROPERTIES & INFRASTRUCTURE LIMITED,2,anil@ansalapi.com; ansalapireraharyana@gmail.com; asheem@ansalapi.com; jagaturf@yahoo.co.in; jyotisidana@gmail.com; sandeep.kumar@ansalapi.com,9711265003; 9845068983; 9855300506; 9996882414,"1126 OF 2006,50 OF 2013",,
Vision Pride Infratech Private Limited,C,VISION PRIDE INFRATECH PRIVATE LIMITED,1,abc@xyz.com; arvindkumar.ak604@gmail.com; kaushiksandeep1212@gmail.com; visionpridegreen@gmail.com,9050281632; 9910098163; 9992977016,246 OF 2023,,
Vardaan Buildtech Private Limited,C,VARDAAN BUILDTECH PRIVATE LIMITED,1,rishabh.adlaw@gmail.com; takdeersingh2018@gmail.com,7015141313; 7838214128; 8397975032,,,
Uniliance Private Limited,C,UNILIANCE PRIVATE LIMITED,1,ssarin187@yahoo.co.in,7404012300; 9812046557,262 OF 2025,,1
Ultimate Real Housing Private Limited,C,ULTIMATE REAL HOUSING PRIVATE LIMITED,1,deepakthakran83@yahoo.com; ssingh248932@gmail.com; ultimareality21@gmail.com; ultimatown@gmail.com,9996000262; 9996480088,155 OF 2024,,1
Tulip Infratech Pvt Ltd,C,TULIP INFRATECH PVT LTD,1,cmd@tulipgroup.in; info@tulipgroup.in; vikas@tulipgroup.in; vipin@tulipgroup.in; zaidi@tulipgroup.in,9811065104; 9813986583,1041 OF 2006; 52 OF 2013,,0
The Police Employees Co-Operative House Building Society Ltd.,C,THE POLICE EMPLOYEES CO-OPERATIVE HOUSE BUILDING SOCIETY LTD.,1,narenderkumar5811@gmail.com,9416816943; 9812100301,29 OF 2020,,
Tdi Mansion Private Limited,C,TDI MANSION PRIVATE LIMITED,1,chitrakootddjay@gmail.com,6095778179; 9711002541; 9871550599; 9899970780,93 OF 2019,,0
TDI INFRACORP(INDIA) LIMITED,,TDI INFRACORP(INDIA) LIMITED,1,op.dhingra@tdiinfracorp.com; rajneesh.sachdeva@tdiinfracorp.com,9654728375,158 OF 2008,,
Svsj Buildprop Llp,C,SVSJ BUILDPROP LLP,1,info@svsgroup.com; info@svsjgroup.com; neelam@neegroups.com; shaleengoel@yahoo.com,8708459191; 9811314111; 9871857626; 9896400009,07 OF 2026; 7 OF 2026,,1
Surepass Infra Llp,C,SUREPASS INFRA LLP,1,aryanmaan55@gmail.com; baljeet@royalgreenrealty.com; mahesh@royalgreenrealty.com; suryamaan10@gmail.com; varun@royalgreenrealty.com; yashank@royalgreenrealty.com,7027111111; 9560088910; 9717886336; 9811201111; 9821393818; 9999665588,199 OF 2025,,1
Supermax Affordable Housing Pvt Ltd,C,SUPERMAX AFFORDABLE HOUSING PVT LTD,1,supermaxhousing@gmail.com,8542888884; 8542888886; 9729818226,226 OF 2025,,
Super Max Affordable Housing Pvt. Ltd.,C,SUPER MAX AFFORDABLE HOUSING PVT. LTD.,1,anilgarg779@gmail.com; ankit.tushir@gmail.com; goeld@ymail.com; supermaxhousing@gmail.com,9050200622; 9312232236; 9729818226; 9868207176; 9871141140,76 OF 2017,,0
Sunfrost Frozen Foods Llp,C,SUNFROST FROZEN FOODS LLP,1,ajitdhiman@hotmail.com; ssarin187@yahoo.co.in,7404012300; 9812046557,03 OF 2021,,1
Spj Promoters Private Limited,C,SPJ PROMOTERS PRIVATE LIMITED,1,anupkumar@aroralandcorp.com; monasharma@aroralandcorp.com; rajesharora@aroralandcorp.com; rajivgupta@aroralandcorp.com; rakeshkumar@aroralandcorp.com; sanchanarora@aroralandcorp.com,7087088787; 8284882622; 9501004421; 9650433711; 9988010875; 9999996284,94 OF 2023,,1
South West Bliss Private Limited,C,SOUTH WEST BLISS PRIVATE LIMITED,1,contactgrandpark@neoliv.in,9220362999,116 OF 2024,,
Sonipat Devru Ventures Llp,C,SONIPAT DEVRU VENTURES LLP,1,accounts@balaji-group.com; somesh@balaji-group.com,9467941127; 9818732288,253 OF 2025,,1
Soha Developers Private Limited,C,SOHA DEVELOPERS PRIVATE LIMITED,1,arconiacitysoha@gmail.com; dev0031@gmail.com; shahzadakhtar@sohagroup.in; tahseenhaider@sohagroup.in,8307151141; 9718973600; 9891971444,169 OF 2025,,1
Snpc Residency Limited,C,SNPC RESIDENCY LIMITED,1,ca.riyajindal@gmail.com; rishabhjindal2307@gmail.com; snpcresidencylimited@gmail.com; vijenderca@gmail.com; vilas077@gmail.com,8199939912; 8826423668; 9315439912; 9540481000; 9817079131,101 OF 2025; 254 OF 2025,,1
Snpc Global Residency Llp,C,SNPC GLOBAL RESIDENCY LLP,1,rishabhjindal2307@gmail.com; riyajindal1302@gmail.com; snpcglobalresidencyllp@gmail.com; vijenderca@gmail.com; vilas077@gmail.com,8199939912; 8826423668; 9315439912; 9315539912; 9540481000; 9817079131,94 OF 2024,,1
Snb Reality Private Limited,C,SNB REALITY PRIVATE LIMITED,1,snbrealitypvtltd@gmail.com,7838214128,64 OF 2023,,1
Smn Realty Llp,C,SMN REALTY LLP,1,shrigreencity@gmail.com,9205596375,33 OF 2022,,1
Shubhashok Infra Grow Llp,C,SHUBHASHOK INFRA GROW LLP,1,ashok14@icloud.com; shubhs929@gmail.com,9416054055; 9812339769; 9999309879,37 OF 2022,,
Shubhashok Ifnra Grow Llp,C,SHUBHASHOK IFNRA GROW LLP,1,ashok14@icloud.com; shubhs929@gmail.com,9416054055; 9812339769; 9999309879,35 OF 2025,,
Shree Banke Bihari Healthcare Llp,C,SHREE BANKE BIHARI HEALTHCARE LLP,1,awadhrai@ymail.com,9996782120,52 OF 2022,,
Sc Hotels And Resorts Pvt Ltd,C,SC HOTELS AND RESORTS PVT LTD,1,schotelsandresorts@gmail.com,9812900700; 9991080910,206 OF 2023,,1
Sanjeev Sarin And Others (Licensee),C,SANJEEV SARIN AND OTHERS (LICENSEE),1,ajitdhiman@hotmail.com; ssarin187@yahoo.co.in,7404012300; 9812046557,14 OF 2020,,
Sana Realtors Private Limited,C,SANA REALTORS PRIVATE LIMITED,1,streetconnaught@gmail.com,9711002541; 9899661037,98 OF 2005,,
Samyak Properties And Infrastructure Private Limited,C,SAMYAK PROPERTIES AND INFRASTRUCTURE PRIVATE LIMITED,1,gaurav.jain@samyakdevelopments.com,9650086701,90 OF 2019,,0
Rrtitam Developers Llp,C,RRTITAM DEVELOPERS LLP,1,rishikagroup.ts@gmail.com,7740000699; 8397975032,140 OF 2025,,
Rritam Reality Llp,C,RRITAM REALITY LLP,1,rpv@rritam.com,9811779525; 9891859990,29 OF 2025,,1
Rritam Dreambuilders Llp,C,RRITAM DREAMBUILDERS LLP,1,rritamdreambuilders@rritam.com,9811779525; 9812055803,64 OF 2026,,
Rpt Estate Pvt. Ltd.,C,RPT ESTATE PVT. LTD.,1,ratanchandt@gmail.com,8010203375; 9873532114,83 OF 2024,,1
Rof Housing And Infrastructure Private Limited,C,ROF HOUSING AND INFRASTRUCTURE PRIVATE LIMITED,1,info@rof.co.in,8287188277,53 OF 2022,,
Riverwood Projects Llp,C,RIVERWOOD PROJECTS LLP,1,projects.riverwoodindia@gmail.com,9729724370; 9818895792,92 OF 2025,,
Rishika Structure Llp,C,RISHIKA STRUCTURE LLP,1,rishikastructurellp@gmail.com,7838214128; 9306492174,255 OF 2023,,1
Rishika Edifice Llp,C,RISHIKA EDIFICE LLP,1,rishikaedificellp99@gmail.com,7838214128; 9671963435,134 OF 2023,,1
Rishika Constructions Llp,C,RISHIKA CONSTRUCTIONS LLP,1,rishikaconstructionsllp@gmail.com,7838214128,85 OF 2022,,1
Rishika Buildtech Private Limited,C,RISHIKA BUILDTECH PRIVATE LIMITED,1,rishikabuildtechpvtltd@gmail.com,9812046557; 9990101048,28 OF 2021,,1
Rishabh Residencyllp,C,RISHABH RESIDENCYLLP,1,rishabhjindal2307@gmail.com; rishabhresidencyllp@gmail.com; snpcmachines@gmail.com; vijenderca@gmail.com; vilas077@gmail.com,8199939912; 8826423668; 9315439912; 9315539912; 9540481000,161 OF 2025,,
Regards Delvelopers Private Limited,C,REGARDS DELVELOPERS PRIVATE LIMITED,1,info@regardsdevelopers.com,9811013000,245 OF 2023,,
Rangoli Buildtech Pvt Ltd,C,RANGOLI BUILDTECH PVT LTD,1,nrityadevjha@gmail.com; rangolibuildtech@gmail.com; rmdahiya@gmail.com; skartar38@yahoo.com,9818119020; 9818386112; 9871943644,98 OF 2005,,0
Rahul Mangla Food Processing & Cold Storage Private Limited,C,RAHUL MANGLA FOOD PROCESSING & COLD STORAGE PRIVATE LIMITED,1,rahulmangla03@gmail.com,9812442787,67 OF 2022,,
Quarterage Developers Private Limited,C,QUARTERAGE DEVELOPERS PRIVATE LIMITED,1,theparkergroup@yahoo.com,9310113011; 9354567542,95 OF 2024,,1
Pushprattan Developers Private Limited,C,PUSHPRATTAN DEVELOPERS PRIVATE LIMITED,1,blossompark40@gmail.com,9654728375; 9896440666,47 OF 2019,,0
Ptrt Builders Private Limited,C,PTRT BUILDERS PRIVATE LIMITED,1,jaideep.verma96@hotmail.com; ptrtgroup8@gmail.com; pushpataneja11@gmail.com; ratanchandt@gmail.com,8010203375; 9811211208; 9899765852,09 OF 2025,,1
Parker Vrc Infrastructure Private Limited,C,PARKER VRC INFRASTRUCTURE PRIVATE LIMITED,1,parkervrcinfo@yahoo.com,9574003201; 9811013011; 9811594302; 9811680916; 9811694960; 9818943215,292 OF 2007,,
Parker Infrastructure Private Limited,C,PARKER INFRASTRUCTURE PRIVATE LIMITED,1,cfo@theparkergroup.in; finance@theparkergroup.in; finance@theparkeroup.in; mannishparker@yahoo.com,9310113011; 9354567542; 9811013011; 9811594302,255 OF 2025,,1
Parilok Real Estates Private Limited,C,PARILOK REAL ESTATES PRIVATE LIMITED,1,parilokestate@gmail.com,9654728375; 9811169192; 9896440666,46 OF 2019,,0
Pardesi Developers Private Limited In Collaboration With Smt. Sunita Narula,C,PARDESI DEVELOPERS PRIVATE LIMITED IN COLLABORATION WITH SMT. SUNITA NARULA,1,jyotisidana@gmail.com; pardesigroupindia@yahoo.com,9855300506; 9910377946; 9991901125,128 OF 2007,,
Pardesi Developers And Infrastructure Pvt. Ltd.,C,PARDESI DEVELOPERS AND INFRASTRUCTURE PVT. LTD.,1,nikhil.pardesigroup@gmail.com; pardesigroupindia@yahoo.com,9910377661; 9991901125,110 OF 2019,,
Orion Tech Park Developers Llp,C,ORION TECH PARK DEVELOPERS LLP,1,ajitzeal@yahoo.in; info.oriontechpark@gmail.com; karanmehta_96@hotmail.com; sanjayjain@bounjourgroup.net,9599686154; 9811053849; 9873222444,,,1
One Prastha Realty Llp,C,ONE PRASTHA REALTY LLP,1,somesh@balaji-group.com,9818732288; 9992220948,153 OF 2025,,1
Oasis Landmarks Llp,C,OASIS LANDMARKS LLP,1,ho_rera@godrejproperties.com,,110 OF 2022,,1
Oak Hills Infra,C,OAK HILLS INFRA,1,oakhillsinfrastructure@gmail.com,9053077702,233 OF 2025,,
Nextra Dream Town Realty Pvt. Ltd.,C,NEXTRA DREAM TOWN REALTY PVT. LTD.,1,ankitbansal@nextradevelopers.com; nextracity@gmail.com; nikhilbansal@nextradevelopers.com,9958080056,10 OF 2016,,1
New Sohna Warehousing Pvt. Ltd.,C,NEW SOHNA WAREHOUSING PVT. LTD.,1,somesh@balaji-group.com,9818732288; 9905800023,18 OF 2024,,1
New Era Infrastructure Private Limited,C,NEW ERA INFRASTRUCTURE PRIVATE LIMITED,1,guliaapex@gmail.com,9813957448; 9999716799,37 OF 2021,,1
Nature Earth Kharkhoda Llp,C,NATURE EARTH KHARKHODA LLP,1,jogindersinghcoach@gmail.com; natureearthkharkhoda@gmail.com; sidhantohlan@gmail.com; sourabhpanwar1412@gmail.com; vikasdahiya3104@gmail.com; vishaldahiya01234@gmail.com,7303631003; 8447662506; 9215556684; 9813175794; 9896145161; 9992029696,238 OF 2025,,1
Mrida Seven Element Llp,C,MRIDA SEVEN ELEMENT LLP,1,acct.syscom@gmail.com; reemajain81@gmail.com; vijayaggarwal35@gmail.com; vjverma161@gmail.com,9416220010; 9811504477; 9813057157; 9818935110,78 OF 2025,,1
Mrida Express City Llp,C,MRIDA EXPRESS CITY LLP,1,acct.syscom@gmail.com,9416220010; 9773996497,244 OF 2025,,1
Mera Baba Real Estate Pvt. Ltd.,C,MERA BABA REAL ESTATE PVT. LTD.,1,ankur@divinevisioninfra.com; himanshu@divinevisioninfra.com,9729766544; 9811129692; 9811198091,61 OF 2017,,
Maxheights Township And Projects Pvt. Ltd.,C,MAXHEIGHTS TOWNSHIP AND PROJECTS PVT. LTD.,1,maxheights1@hotmail.com; sunilkhurana65@gmail.com,9034004010; 9810034735; 9810199509; 9811176485; 9971752082,101 OF 2014; 110 OF 2008,,0
Maxheights Prometers  Pvt. Ltd.,C,MAXHEIGHTS PROMETERS  PVT. LTD.,1,maxheights1@hotmail.com; maxheightskundli@yahoo.co.in,9810034735; 9810070879; 9811382616; 9811806516; 9873907127,142 OF 2014,,
Manjesh,C,MANJESH,1,goldenavenuesnp@outlook.com,9215520760,261 OF 2023,,
Manav Associatesprivate Limited,C,MANAV ASSOCIATESPRIVATE LIMITED,1,manavkhatri06@gmail.com,9812042929,159 OF 2024; 159OF 2024,,
Maksad Estate And Hardware Limited,C,MAKSAD ESTATE AND HARDWARE LIMITED,1,secretarial@eldecoproperties.com; serectarial@eldecoproperties.com,7882627121; 9650499983; 9999999999,83 OF 2018; 991 OF 2006,,0
Mahadev United Infrastructure Pvt. Ltd.,C,MAHADEV UNITED INFRASTRUCTURE PVT. LTD.,1,mahadevuipl@gmail.com; vdabas72@gmail.com,9205947120; 9991309007,218 OF 2023,,1
M/S. Ultima Realty,C,M/S. ULTIMA REALTY,1,singhy_2480@yahoo.com,9996000262,24 OF 2014; 71 OF 2009,,
M/S. Samyak Properties And Infrastructure Private Limited,C,M/S. SAMYAK PROPERTIES AND INFRASTRUCTURE PRIVATE LIMITED,1,saffronestategrand@gmail.com,9810471714,146 OF 2022,,
M/S Mathur Developers & Infrastructures Private Limited,C,M/S MATHUR DEVELOPERS & INFRASTRUCTURES PRIVATE LIMITED,1,mdipvtindia@gmail.com; raj16mathur@gmail.com,9811955515; 9911955515,174 OF 2023,,
M/S Landlord Developers Pvt. Ltd.,C,M/S LANDLORD DEVELOPERS PVT. LTD.,1,123@gmail.com; batrapk99@gmail.com,9053155922; 9254054465,237 OF 2025,,
M/S Jagramm Infratech Llp,C,M/S JAGRAMM INFRATECH LLP,1,infratech@jagram.co.in,9151660333; 9211490056; 9999261199; 9999891199,180 OF 2025,,
M/S Gpb Trading Llp,C,M/S GPB TRADING LLP,1,gpbtradingllp@gmail.com; puribuildwell@yahoo.com; puridevelopers@yahoo.com; rpgroup4@gmail.com; westsanjeev@gmail.com,9711232765; 9810083964; 9811169192; 9819990690; 9899929009; 9911499949,91 OF 2025,,
Lotus Trading And Securities Private Limited,C,LOTUS TRADING AND SECURITIES PRIVATE LIMITED,1,tradingoptimistic@gmail.com,9871943644,98 OF 2005,,
Laxmi Son Empire Developer Llp,C,LAXMI SON EMPIRE DEVELOPER LLP,1,laxmi.city28@gmail.com; sushil.laxmisons@gmail.com,9650782800; 9660782800; 9873155336,66 OF 2025,,1
Kunj Behari Mines Llp,C,KUNJ BEHARI MINES LLP,1,rishikagroup.ts@gmail.com,9671963435; 9991473000; 9991483000,28 OF 2025,,
Kristina Infrastructure Private Limited,C,KRISTINA INFRASTRUCTURE PRIVATE LIMITED,1,arora.vini1983@gmail.com; dhamijaaman2000@gmail.com; sureshdhamija777@gmail.com,9312549650; 9999024570; 9999190985,70 OF 2009; 99 OF 2021,,
Kk Dhanuka Estates Pvt Ltd,C,KK DHANUKA ESTATES PVT LTD,1,accounts@kdepl.co.in; atulagarawal@kdepl.co.in; kcdhanuka2025@gmail.com; krishnadhanuka@kdepl.co.in; neerajkakria@kdepl.co.in,7230964999; 8800000083; 8800014569; 9205111505; 9810791141,02 OF 2026; 107 OF 2025,,1
Keshu Promoters Llp,C,KESHU PROMOTERS LLP,1,ceo@rajdhanirealcon.com,7479100000,17 OF 2024,,1
Kamal Ideal Infratech Pvt. Ltd.,C,KAMAL IDEAL INFRATECH PVT. LTD.,1,deetwin2007@gmail.com; kamalidealinfratech@gmail.com; kamalproperties@gmail.com; narendra.sharma@iitmipu.ac.in; vsassociatespro@gmail.com,9810054006; 9810070123; 9810190710; 9810190719; 9873588007,74 OF 2008; 74OF2008,,0
Kalptaru Developers Private Limited,C,KALPTARU DEVELOPERS PRIVATE LIMITED,1,ajmerkalptaruresidency2026@gmail.com; kalptaruresidency2026@gmail.com; sumitkalptaruresidency2026@gmail.com; xxxxxxxxx@gmail.com,7900548900,91 OF 2026,,1
Kairav Infrastructure Private Limited,C,KAIRAV INFRASTRUCTURE PRIVATE LIMITED,1,kairavinfra@gmail.com,9716485051; 9911573792,165 OF 2023,,1
Jindal Infra Build Private Limited,C,JINDAL INFRA BUILD PRIVATE LIMITED,1,arvindkumar.ak604@gmail.com,9910098163,33 OF 2023; 99 OF 2023,,
Jbb Everest Buildtech Pvt. Ltd.,C,JBB EVEREST BUILDTECH PVT. LTD.,1,director.ramavtar02021@gmail.com; jbbgrandsquarekundli@gmail.com,9310407942; 9717969919,203 OF 2007,,
Jai Krishna Artec J.V,C,JAI KRISHNA ARTEC J.V,1,anilwadia2610@gmail.com; arun@aarcity.com; bsingh035@gmail.com; jaikrishnaartec@gmail.com; jkg.greenwoodspt@gmail.com; rajender@aarcity.com,9810100222; 9811042112; 9811078202; 9811088201; 9811150686; 9891724441,103 OF 2017; 185 OF 2007,,
J S Broadcasting Private Limited,C,J S BROADCASTING PRIVATE LIMITED,1,coralpark4@gmail.com,9810016083; 9896440666,48 OF 2019,,0
Indiabulls Urbanresidency Limited,C,INDIABULLS URBANRESIDENCY LIMITED,1,a.tarun@indiabullsestate.com; aktiwary@dhani.com; ankur.a@dhani.com; luxurysales@indiabullsestate.com; purav.acharya@dhani.com; udevi@dhani.com; vibhumukesh@gmail.com,9004468173; 9560761115; 9654981042; 9654981072; 9810778498; 9990535501,76 OF 2023,,
Haryana State Industrial & Infrastructure Development Corporation,C,HARYANA STATE INDUSTRIAL & INFRASTRUCTURE DEVELOPMENT CORPORATION,1,dheeraj.joshi@hsiidc.org.in; ia.kharkhoda@hsiidc.org.in; ipcharyana@yahoo.com; md.hsiidc@hsiidc.org.in; secy.finance123@gmail.com; sunil.sharma@hsiidc.org.in; v.umashankar@gov.in; vijayendrakumarsingh@gmail.com,8779749080; 9216138000; 9466120016; 9467445599; 9467869888; 9813199007; 9818600692; 9878000063,,,
Grand Imperial Developers Llp,C,GRAND IMPERIAL DEVELOPERS LLP,1,info@joy-city.in,9053009911; 9053009922,140 OF 2023,,1
Gemini Agrofarms Private Limited,C,GEMINI AGROFARMS PRIVATE LIMITED,1,crm.flowercity@gmail.com; manish.bakshi.apple@gmail.com,7042054422,180 OF 2022,,1
Gemimi Agrofarms Private Limited,C,GEMIMI AGROFARMS PRIVATE LIMITED,1,crm.spitihomes@gmail.com,7042054422,181 OF 2022,,
Flowtech Estates Private Limited,C,FLOWTECH ESTATES PRIVATE LIMITED,1,admin@flowtechgroup.in; amitsaroha875@gmail.com; flowtechestates@gmail.com; j.sahlawat@ymail.com; ssdahiya@flowtechgroup.in,9811047063; 9811110592; 9812922529; 9992212000,03 OF 2025,,1
Express Projects Private Limited,C,EXPRESS PROJECTS PRIVATE LIMITED,1,enclave@expressbuildersltd.com,7065406007; 9312232920,,,0
Eldeco Green Park Infrastructure Limited,C,ELDECO GREEN PARK INFRASTRUCTURE LIMITED,1,secretarial@eldecoproperties.com,9810946102; 9818871148,109 OF 2023,,1
Demeanor Construction Private Limited,C,DEMEANOR CONSTRUCTION PRIVATE LIMITED,1,gouravgujjar11122@gmail.com; na@gmail.com; praveen.shukla@truehabitat.in,9671818085; 9910555678; 9999999999,128 OF 2025,,
Bgcc Developers Private Limited,C,BGCC DEVELOPERS PRIVATE LIMITED,1,bgccdev@yahoo.com,9212273787,119 OF 2022,,1
Benisons Homes Llp,C,BENISONS HOMES LLP,1,benisonshomesllp@gmail.com,9811045297; 9910033600; 9911069839,207 OF 2025,,1
At Educon Private Limited,C,AT EDUCON PRIVATE LIMITED,1,ateduconpvtltd@gmail.com,7838214128; 9671962796,102 OF 2023,,1
Arveen Build Estate Llp,C,ARVEEN BUILD ESTATE LLP,1,richsanyam@gmail.com,8572070707; 9717387778,135 OF 2025,,
Apex Buildtech Limited,C,APEX BUILDTECH LIMITED,1,apexbuildtech@hotmail.com; shivshankar116378@gmail.com,9813957448,482 OF 2006,,0
Ansal Properities And Infrastructure Limited,C,ANSAL PROPERITIES AND INFRASTRUCTURE LIMITED,1,asheem@ansalapi.com; jagaturf@yahoo.co.in; jyotisidana@gmail.com,9845068983; 9855300506; 9996882414,31 OF 2012,,
Aakarshak Realators Pvt. Ltd.,C,AAKARSHAK REALATORS PVT. LTD.,1,parkervrcinfo@yahoo.com,9574003201; 9811013011; 9811594302; 9811680916; 9811694960; 9818943215,182 OF 2007,,
ANSAL PROPERTIES AND INFRASTRUCTURE LTD.,,ANSAL PROPERTIES AND INFRASTRUCTURE LTD.,1,ansalapireraharyana@gmail.com; asheem@ansalapi.com; sandeep.kumar@ansalapi.com,9711265003; 9845068983; 9855300506; 9996882414,02 OF 2014,,
