LicenseNo,IssueDate,Purpose,Area_acre,DevPlan,Sector,Developer,ValidUpto,licence_active,match_status,match_score,match_why,rera_project,rera_reg_no,rera_promoter
27 OF 2017,08/06/2017,DDJAY-APHP,5.61,Rohtak,22D,Kashish Buildtech Pvt. Ltd.,07/06/2025,False,SPV-MATCH?,37,name=37+area,AFFORTABLE PLOTTED COLONY 5.64687 ACRES,"128/2017, DATED 28.08.2017",SHARAD FARMS AND HOLODING PVT. LTD.
28 OF 2017,08/06/2017,DDJAY-APHP,5.02,Rohtak,36,Sharad Farms & Holdings Pvt. Ltd.,07/06/2022,False,PARCEL-MATCH,97,name=97+sector,AFFORTABLE PLOTTED COLONY 5.64687 ACRES,"128/2017, DATED 28.08.2017",SHARAD FARMS AND HOLODING PVT. LTD.
29 OF 2017,08/06/2017,DDJAY-APHP,8.47,Rohtak,22D,Kamini Builders & Promoters Pvt. Ltd.,07/06/2025,False,UNMATCHED,0,,,,
30 OF 2017,08/06/2017,DDJAY-APHP,14.81,Rohtak,22D,Kashish Buildtech Pvt. Ltd.,07/06/2025,False,UNMATCHED,0,,,,
31 OF 2017,08/06/2017,DDJAY-APHP,13.75,Rohtak,22D,Kamini Builders & Promoters Pvt. Ltd.,07/06/2022,False,UNMATCHED,0,,,,
32 OF 2017,15/06/2017,DDJAY-APHP,10.49,Rohtak,37,One Point Realty Pvt. Ltd.,14/06/2022,False,PARCEL-MATCH,100,name=100+sector,RESIDENTIAL PLOTTED COLONY 58.08906 ACRES(ONE CITY),71/2017 DATED 21.08.2017,ONE POINT REALTY PVT. LTD.
62 OF 2017,28/07/2017,DDJAY-APHP,7.75,Rohtak,25D,BESTTECH DEVELOPERS PVT. LTD.,27/07/2022,False,PARCEL-MATCH,93,name=93+sector,ROHTAK GREEN,238 OF 2017 DATED 20.09.2017,BESTECH DEVELOPERS PVT. LTD.
78 OF 2017,29/09/2017,DDJAY-APHP,6.88125,Rohtak,35,Kadian Agro Farms Pvt. Ltd.,28/09/2022,False,PARCEL-MATCH,100,name=100+sector,LOTUS ENCLAVE-ROHTAK,HRERA-PKL-RTK-5-2018,KADIAN AGRO
83 OF 2017,07/10/2017,DDJAY-APHP,8.19375,Rohtak,27A,DHL INFRATECH PVT. LTD.,06/10/2026,True,DEV-MATCH,100,name=100,ASHA ROHTAK,291 OF 2017 DATED 12.10.2017,DHL INFRATECH PVT. LTD.
109 OF 2017,21/12/2017,DDJAY-APHP,11.475,Rohtak,22D,Forteasia Realty Pvt. Ltd.,20/12/2022,False,PARCEL-MATCH,100,name=100+area+sector,AFFORTABLE RESIDENTIAL PLOTTED COLONY 11.475 ACRES,"HRERA-PKL-RTK-25-2018 , DATED 18-07-2018",FORTEASIA REALTY PVT. LTD.
38 OF 2018,13/06/2018,DDJAY-APHP,5.176,Rohtak,"4,3",SHRISHTI INFRA DEVELOPERS PVT. LTD.,12/06/2026,False,PARCEL-MATCH,100,name=100+sector,KALP-VATIKA,HRERA-PKL-ROH-788-2025,SHRISHTI INFRADEVELOPERS PVT. LTD.
43 OF 2018,19/06/2018,DDJAY-APHP,12.775,Rohtak,34,Informage Reality Pvt.Ltd.,18/06/2026,False,PARCEL-MATCH,100,name=100+sector,PALM DRIVE ROHTAK,HRERA-PKL-RTK-96-2019,INFORMAGE REALTY PRIVATE LIMITED
86 OF 2018,10/12/2018,DDJAY-APHP,10.5875,Rohtak,22D,CNR Leading Softek Pvt. Ltd.,09/12/2025,False,PARCEL-MATCH,100,name=100+sector,ROYAL STREET,HRERA-PKL-ROH-313-2022,CNR LEADING SOFTEK PVT. LTD
45 OF 2021,11/08/2021,DDJAY-APHP,5.16875,Rohtak,34,SUNCITY BUILDCON PVT LTD.,10/08/2026,False,PARCEL-MATCH,100,name=100+sector,SUNCITY 34,HRERA-PKL-ROH-284-2021,SUNCITY BUILDCON PVT LTD.
100 OF 2021,18/11/2021,DDJAY-APHP,14.96875,Rohtak,35,Essel Infra LLP,17/11/2026,True,PARCEL-MATCH,100,name=100+sector,SUNCITY 35,HRERA-PKL-ROH-296-2022,ESSEL INFRA LLP
28 OF 2022,22/03/2022,IPA,16.9625,Rohtak,NA,Nugraj Developers LLP,21/03/2027,True,DEV-MATCH,100,name=100,GANDHARA INDUSTRIAL AREA,HRERA-PKL-ROH-317-2022,NUGRAJ DEVELOPERS LLP
113 OF 2026,09/06/2026,IPA,24.6125,Rohtak,NA,Nugraj Developers LLP,08/06/2031,True,DEV-MATCH,100,name=100,GANDHARA INDUSTRIAL AREA,HRERA-PKL-ROH-317-2022,NUGRAJ DEVELOPERS LLP
96 OF 2022,15/07/2022,DDJAY-APHP,7.418,Rohtak,27A,M2M BUILDTECH PVT. LTD.,14/07/2027 (LOI-03.03.2017),True,PARCEL-MATCH,100,name=100+sector,A -ONE HOMES,HRERA-PKL-ROH-334-2022,M2M BUILDTECH PVT. LTD.
169 OF 2022,22/10/2022,DDJAY-APHP,8.903,Rohtak,25D,PALM ABODES BUILDCON PVT. LTD.,21/10/2027,True,DEV-MATCH,100,name=100,THE FLORENCE TOWN,HRERA-PKL-ROH-412-2023,PALM ABODES BUILDON PVT. LTD
175 OF 2022,03/11/2022,DDJAY-APHP,6.925,Rohtak,27A,Forteasia Realty Pvt. Ltd.,02/11/2027,True,DEV-MATCH,100,name=100,AFFORTABLE RESIDENTIAL PLOTTED COLONY 11.475 ACRES,"HRERA-PKL-RTK-25-2018 , DATED 18-07-2018",FORTEASIA REALTY PVT. LTD.
215 OF 2022,29/12/2022,DDJAY-APHP,22.33125,Rohtak,22D,Forteasia Realty Pvt. Ltd.,28/12/2027,True,PARCEL-MATCH,100,name=100+sector,AFFORTABLE RESIDENTIAL PLOTTED COLONY 11.475 ACRES,"HRERA-PKL-RTK-25-2018 , DATED 18-07-2018",FORTEASIA REALTY PVT. LTD.
66 OF 2024,18/06/2027,DDJAY-APHP,6.8625,Rohtak,22D,Forteasia Realty Pvt. Ltd.,17/06/2029,True,PARCEL-MATCH,100,name=100+sector,AFFORTABLE RESIDENTIAL PLOTTED COLONY 11.475 ACRES,"HRERA-PKL-RTK-25-2018 , DATED 18-07-2018",FORTEASIA REALTY PVT. LTD.
217 OF 2022,29/12/2022,DDJAY-APHP,8.5875,Rohtak,22D,Forteasia Realty Pvt. Ltd.,28/12/2027,True,PARCEL-MATCH,100,name=100+sector,AFFORTABLE RESIDENTIAL PLOTTED COLONY 11.475 ACRES,"HRERA-PKL-RTK-25-2018 , DATED 18-07-2018",FORTEASIA REALTY PVT. LTD.
35 OF 2023,16/02/2023,DDJAY-APHP,6.16875,Rohtak,26A,ORANGE CASTLE PVT. LTD.,15/02/2028,True,PARCEL-MATCH,100,name=100+sector,ORANGE CASTLE,HRERA-PKL-ROH-471-2023,ORANGE CASTLE PRIVATE LIMITED
37 OF 2023,20/02/2023,DDJAY-APHP,6.0625,Rohtak,22D,Forteasia Realty Pvt. Ltd.,19/02/2028,True,PARCEL-MATCH,100,name=100+sector,AFFORTABLE RESIDENTIAL PLOTTED COLONY 11.475 ACRES,"HRERA-PKL-RTK-25-2018 , DATED 18-07-2018",FORTEASIA REALTY PVT. LTD.
54 OF 2023,16/03/2023,DDJAY-APHP,18.075,Rohtak,21E,NV Residency LLP,15/03/2028,True,PARCEL-MATCH,100,name=100+sector,NV CITY,HRERA-PKL-ROH-436-2023,NV RESIDENCY LLP
149 OF 2024,17/11/2024,DDJAY-APHP,8.2875,Rohtak,21E,NV Residency LLP,16/11/2029,True,PARCEL-MATCH,100,name=100+sector,NV CITY,HRERA-PKL-ROH-436-2023,NV RESIDENCY LLP
68 OF 2023,29/03/2023,DDJAY-APHP,11.8,Rohtak,21E,Prima Land and Housing LLP,28/03/2028,True,DEV-MATCH,100,name=100,PRIMA CITY,HRERA-PKL-ROH-484-2023,PRIMA LAND AND HOUSING LLP
74 OF 2023,06/04/2023,DDJAY-APHP,15.15625,Rohtak,33A,Rissan Buildtech LLP,05/04/2028,True,DEV-MATCH,100,name=100,RISHIKA GARDENIA,HRERA-PKL-ROH-493-2023,RISSAN BUILDTECH LLP
98 OF 2023,04/05/2023,DDJAY-APHP,5.73125,Rohtak,27A,Dr. Ritu Goyal,03/05/2028,True,SPV-MATCH?,36,name=36+area,AFFORTABLE PLOTTED COLONY 5.64687 ACRES,"128/2017, DATED 28.08.2017",SHARAD FARMS AND HOLODING PVT. LTD.
105 OF 2023,12/05/2023,IPA,14.89375,SAMPLA in Jhajjar,,Sumitra Constructions Pvt. Ltd.,11/05/2028,True,UNMATCHED,0,,,,
108 OF 2023,17/05/2023,DDJAY-APHP,12.0875,Rohtak,22D,ARJK DEVELOPERS PVT. LTD.,16/05/2028,True,PARCEL-MATCH,100,name=100+sector,ASHA GREEN,HRERA-PKL-ROH-530-2023,ARJK DEVELOPERS PRIVATE LIMITED
109 OF 2025,02/07/2025,DDJAY-APHP,2.2,Rohtak,22D,ARJK DEVELOPERS PVT. LTD.,01/07/2030,True,PARCEL-MATCH,100,name=100+sector,ASHA GREEN,HRERA-PKL-ROH-530-2023,ARJK DEVELOPERS PRIVATE LIMITED
110 OF 2023,18/05/2023,IPA,12.44375,SAMPLA in Jhajjar,,BKS Infra Developers Pvt. Ltd.,17/05/2028,True,UNMATCHED,0,,,,
144 OF 2023,11/07/2023,DDJAY-APHP,5.218,Rohtak,22D,Vijaylaxmi Infrabuild Pvt. Ltd.,10/07/2028,True,DEV-MATCH,100,name=100,VIJAYLAXMI GREENS- ROHTAK,HRERA-PKL-ROH-513-2023,VIJAYLAXMI INFRABUILD PRIVATE LIMITED
152 OF 2023,25/07/2023,DDJAY-APHP,5.11875,Rohtak,22D,Suhag Realty,24/07/2028,True,PARCEL-MATCH,100,name=100+sector,SPIRE CITY,HRERA-PKL-ROH-566-2024,M/S. SUHAG REALTY
157 OF 2023,09/08/2023,DDJAY-APHP,15.8125,Rohtak,27A,ONE HEIGHT DEVELOPERS PVT LTD,08/08/2028,True,UNMATCHED,0,,,,
95 OF 2025,10/06/2025,DDJAY-APHP,2.05,Rohtak,27A,ONE HEIGHT DEVELOPERS PVT LTD,09/06/2030,True,UNMATCHED,0,,,,
183 OF 2023,12/09/2023,RGH,2.44375,Rohtak,35,PATANJALI BUILDCON PVT. LTD.,11/09/2028,True,DEV-MATCH,100,name=100,YOGESH HEIGHTS,HRERA-PKL-ROH-590-2024,PATANJALI BUILDCON PVT LTD
216 OF 2023,23/10/2023,DDJAY-APHP,9.75625,Rohtak,NA,Rishika Green Global LLP,22/10/2028,True,DEV-MATCH,100,name=100,RISHIKA SIDHARTHA HANSRAJ COUNTY,HRERA-PKL-ROH-563-2024,RISHIKA GREEN GLOBAL LLP
33 OF 2025,21/03/2025,DDJAY-APHP,5.45,Rohtak,NA,Rishika Green Global LLP,20/03/2030,True,DEV-MATCH,100,name=100,RISHIKA SIDHARTHA HANSRAJ COUNTY,HRERA-PKL-ROH-563-2024,RISHIKA GREEN GLOBAL LLP
86 OF 2024,15/07/2024,IPA,22.2375,Kalanaur,NA,Forteasia Realty Pvt. Ltd.,14/07/2029,True,DEV-MATCH,100,name=100,AFFORTABLE RESIDENTIAL PLOTTED COLONY 11.475 ACRES,"HRERA-PKL-RTK-25-2018 , DATED 18-07-2018",FORTEASIA REALTY PVT. LTD.
84 OF 2025,28/05/2025,IPA,43.69375,Kalanaur,NA,Forteasia Realty Pvt. Ltd.,27/05/2030,True,DEV-MATCH,100,name=100,AFFORTABLE RESIDENTIAL PLOTTED COLONY 11.475 ACRES,"HRERA-PKL-RTK-25-2018 , DATED 18-07-2018",FORTEASIA REALTY PVT. LTD.
185 OF 2025,24/09/2025,IPA,34.73125,Kalanaur,NA,Forteasia Realty Pvt. Ltd.,23/09/2030,True,DEV-MATCH,100,name=100,AFFORTABLE RESIDENTIAL PLOTTED COLONY 11.475 ACRES,"HRERA-PKL-RTK-25-2018 , DATED 18-07-2018",FORTEASIA REALTY PVT. LTD.
86 OF 2026,07/05/2026,IPA,6.85,Kalanaur,NA,Forteasia Realty Pvt. Ltd.,06/05/2031,True,DEV-MATCH,100,name=100,AFFORTABLE RESIDENTIAL PLOTTED COLONY 11.475 ACRES,"HRERA-PKL-RTK-25-2018 , DATED 18-07-2018",FORTEASIA REALTY PVT. LTD.
81 OF 2025,27/05/2025,DDJAY-APHP,8.8875,Rohtak,21D,Palm Abodes Infra,26/05/2030,True,PARCEL-MATCH,100,name=100+sector,THE FLORENCE VISTA,HRERA-PKL-ROH-822-2026,PALM ABODES INFRA
104 OF 2025,19/06/2025,DDJAY-APHP,10.4375,Rohtak,21B,Om New Era Pvt. Ltd.,18/06/2030,True,PARCEL-MATCH,100,name=100+sector,OM DREAM HOME,HRERA-PKL-ROH-778-2025,OM NEW ERA PRIVATE LIMITED
120 OF 2025,11/07/2025,DDJAY-APHP,13.71875,Rohtak,22A,Forteasia Realty Pvt. Ltd.,10/07/2030,True,DEV-MATCH,100,name=100,AFFORTABLE RESIDENTIAL PLOTTED COLONY 11.475 ACRES,"HRERA-PKL-RTK-25-2018 , DATED 18-07-2018",FORTEASIA REALTY PVT. LTD.
123 OF 2025,17/07/2025,DDJAY-APHP,17,Rohtak,6,OPG Developers Private Limited,16/07/2030,True,PARCEL-MATCH,100,name=100+sector,MNM ESTATE,HRERA-PKL-ROH-779-2025,OPG DEVELOPERS  PRIVATE LIMITED
141 OF 2025,08/08/2025,DDJAY-APHP,5.725,Rohtak,NA,M/s Prima Life Spaces Private Limited,07/08/2030,True,DEV-MATCH,100,name=100,PRIMA CITY,HRERA-PKL-ROH-484-2023,PRIMA LAND AND HOUSING LLP
163 OF 2025,03/09/2025,DDJAY-APHP,9.33125,Rohtak,36A,Empire South Pvt. Ltd.,02/09/2030,True,DEV-MATCH,100,name=100,EMPIRE VALLEY,HRERA-PKL-ROH-804-2025,EMPIRE SOUTH PRIVATE LIMITED
249 OF 2025,12/12/2025,DDJAY-APHP,5.325,Rohtak,21D,Imperialstone Infraparks Pvt. Ltd.,11/12/2030,True,DEV-MATCH,100,name=100,THE FLOWER CITY,HRERA-PKL-ROH-857-2026,IMPERIALSTONE INFRAPARKS PRIVATE LIMITED
46  OF 2026,13/03/2026,DDJAY-APHP,14.76875,Rohtak,22D,VRR Residency LLP,12/03/2031,True,PARCEL-MATCH,100,name=100+sector,NV CITY,HRERA-PKL-ROH-958-2026,VRR RESIDENCY LLP
77 OF 2026,29/04/2026,IPA,30.8675,Kalanaur,NA,Deepak Maini,28/04/2031,True,UNMATCHED,0,,,,
102 OF 2026,26/06/2026,DDJAY-APHP,20.8239,Rohtak,21E,Consonance Infra LLP,25/05/2031,True,UNMATCHED,0,,,,
116 OF 2026,11/06/2026,DDJAY-APHP,5.9597,Rohtak,25D,AARADHYA INFRASPACES LLP,10/06/2031,True,UNMATCHED,0,,,,
134 OF 2026,07/07/2026,DDJAY-APHP,12.5753,Rohtak,NA,Shyamprem Estate Private Limited,06/07/2031,True,UNMATCHED,0,,,,
143 OF 2026,14/07/2026,DDJAY-APHP,15.565,Rohtak,27C,Galaxy Magnum Projects Pvt. Ltd.,13/07/2031,True,UNMATCHED,0,,,,
