CaseNo,Colony,BR3,BR7,LC9,FileID,LicenseNo,IssueDate,Purpose,Area_acre,DevPlanRaw,ValidUpto,Sector,Developer,LandSchedule1,LandSchedule2
LC-4716,OPAL HAN-3 DDJAY-APHP,,,,LC-4716A,97 OF 2022,15/07/2022,RPL,13.2,HANSI,14/07/2027,2,Opal Developers and Construction Pvt. Ltd.,View Land Schedule,View
LC-4716,OPAL HAN-3 DDJAY-APHP,,,,LC-4716B,72 OF 2024,28/06/2024,RPL,9.72,HANSI,27/06/2029,2,Opal Developers and Construction Pvt. Ltd.,View Land Schedule,View
LC-4830,DCM HIS-23 DDJAY-APHP,,,,LC-4830A,179 OF 2022,07/11/2022,DDJAY-APHP,67.275,HISSAR,06/11/2027,23,DCM Limited,View Land Schedule,View
LC-4950,MKS HIS IPA (Zoning Plan),,,,LC-4950A,71 OF 2023,06/04/2023,IPA,15.4375,HISSAR,05/04/2028,NA,MKS Enterprises,View Land Schedule,View
LC-4914,RAJ LAMBA HIS-4 DDJAY-APHP,,,,LC-4914A,73 OF 2023,06/04/2023,DDJAY-APHP,16.39375,HANSI,05/04/2028,4,Sh. Rajesh Lamba,View Land Schedule,View
LC-4928,PARKCITY HAN-1 DDJAY-APHP,,,,LC-4928A,75 OF 2023,06/04/2023,DDJAY-APHP,7.375,HANSI,05/04/2028,1,Park City Developers,View Land Schedule,View
LC-4896,VISHVADHARAM HIS-36 & 39 DDJAY-APHP (Demarcation - Cum Zoning Plan),,,22/07/2026,LC-4896A,126 OF 2023,15/06/2023,DDJAY-APHP,12.05625,HISSAR,14/06/2028,39,Vishvadharam Estate LLP,View Land Schedule,View
LC-4896,VISHVADHARAM HIS-36 & 39 DDJAY-APHP (Demarcation - Cum Zoning Plan),,,22/07/2026,LC-4896B,177 OF 2025,18/09/2025,DDJAY-APHP,17.2875,HISSAR,17/09/2030,39,Vishvadharam Estate LLP,View Land Schedule,View
LC-5106,SIDVIN HAN-1 DDJAY-APHP,,,,LC-5106A,195 OF 2023,25/09/2023,DDJAY-APHP,7.91875,HANSI,24/09/2028,1,Sidhi Vinayak Associates,View Land Schedule,View
LC-5115,MAA BHAGWATI HAN-1 DDJAY-APHP (Revised and Additional Layout Plan) (Revised and Additional Demarcation cum Zoning Plan),,,,LC-5115A,204 OF 2023,09/10/2023,DDJAY-APHP,36.6125,HANSI,08/10/2028,1,Maa Bhagwati Associates,View Land Schedule,View
LC-5115,MAA BHAGWATI HAN-1 DDJAY-APHP (Revised and Additional Layout Plan) (Revised and Additional Demarcation cum Zoning Plan),,,,LC-5115B,215 OF 2025,31/10/2025,DDJAY-APHP,8.59375,HANSI,30/10/2030,1,Maa Bhagwati Associates,View Land Schedule,View
LC-5278,AGROHA UKL-8 DDJAY-APHP,,,,LC-5278A,91 OF 2024,18/07/2024,DDJAY-APHP,11.03125,Uklana,17/07/2029,,Agroha Developers,View Land Schedule,View
LC-5401,OMESTATES HIS IPL (Demarcation Cum Zoning Plan),,,17/11/2025,LC-5401A,117 OF 2024,14/08/2024,IPA,19.725,HISSAR,13/08/2029,NA,OM ESTATES,View Land Schedule,View
LC-5340,BABA JODH HIS-5 DDJAY-APHP (Demarcation Cum Zoning Plan) (Layout Plan),,,,LC-5340A,20 OF 2025,17/02/2025,DDJAY-APHP,5.66875,HISSAR,16/02/2030,5,Baba Jodh Developers,View Land Schedule,View
LC-5340,BABA JODH HIS-5 DDJAY-APHP (Demarcation Cum Zoning Plan) (Layout Plan),,,,LC-5340B,74 OF 2026,24/04/2026,DDJAY-APHP,10.025,HISSAR,23/04/2031,5,Baba Jodh Developers,View Land Schedule,View
LC-5380,SIDHI HIS IPL (Layout Plan) Layout Plan (Demarcation cum Zoning Plan) (Demarcation cum Zoning Plan),,,,LC-5380A,88 OF 2025,04/06/2025,IPA,16.18125,HANSI,03/06/2030,NA,Sidhi Vinayak Associates,View Land Schedule,View
LC-5380,SIDHI HIS IPL (Layout Plan) Layout Plan (Demarcation cum Zoning Plan) (Demarcation cum Zoning Plan),,,,LC-5380B,236 OF 2025,01/12/2025,IPA,12.1125,HANSI,30/11/2030,NA,Sidhi Vinayak Associates,View Land Schedule,View
LC-5339,VSINFRATECH HIS-18 IPL (Demarcation-Cum-Zoning Plan),,,,LC-5339A,90 OF 2025,04/06/2025,IPA,10.9125,HANSI,03/06/2030,18,V.S. Infratech,View Land Schedule,View
LC-5600,DIGANTIKA HIS-39 DDJAY-APHP (Layout Plan) (Demarcation Cum Zoning Plan),,,,LC-5600A,152 OF 2025,22/08/2025,DDJAY-APHP,9.85,HISSAR,21/08/2030,39,M/s Digantika Infrastructure LLP,View Land Schedule,View
LC-5729,MITTAL HIS-39 DDJAY-AHP (Layout Plan) (Demarcation cum Zoning Plan) (Demarcation cum Zoning Plan),,,,LC-5729A,192 OF 2025,09/10/2025,DDJAY-APHP,12.3125,HISSAR,08/10/2030,39,Mittal Rathee Land Developers LLP,View Land Schedule,View
LC-5667,SAHIL HAN IPA (Layout Plan) (Demarcation cum Zoning Plan),,,,LC-5667A,210 OF 2025,25/10/2025,IPA,14.575,HANSI,24/10/2030,NA,Sahil Varma,View Land Schedule,View
LC-5675,GIRDHER HIS-3 DDJAY-APHP (Layout Plan) (Demarcation cum zoning Plan),,,,LC-5675A,228 OF 2025,19/11/2025,DDJAY-APHP,9.1833,Uklana,18/11/2030,,Girdher Gopal Builder and Developers LLP,View Land Schedule,View
LC-5565,SHREE HIS IPL (Layout Plan) (Demarcation cum Zoning Plan),,,,LC-5565A,250 OF 2025,18/12/2025,IPL,18.0875,HISSAR,17/12/2030,NA,Shree Radhey Krishna Estate,View Land Schedule,View
LC-5649,DEEPTI HIS-39 DDJAY-APHP (Layout Plan) (Demarcation cum Zoning Plan),,,,LC-5649A,32 OF 2026,17/02/2026,DDJAY-APHP,6.15625,HISSAR,16/02/2031,39,Deepti Gupta Trading LLP,View Land Schedule,View
LC-5749,JINDAL HIS-9&11 DDJAY-APHP (Layout Plan),,,,LC-5749A,38 OF 2026,02/03/2026,DDJAY-APHP,9.4625,HISSAR,01/03/2031,11,Jindal Prop Infra LLP,View Land Schedule,View
LC-5133,MONARCH HIS IPA (Layout Plan),,,,LC-5133A,60 OF 2026,07/04/2026,IPA,17.375,HISSAR,06/04/2031,NA,Monarch Farms,View Land Schedule,View
LC-5795,CRSD HIS IPA (Layout Plan) (Revised Layout Plan),,,,LC-5795A,72 OF 2026,22/04/2026,IPA,43.85,HISSAR,21/04/2031,NA,CRSD Developers,View Land Schedule,View
LC-5693,RADHE HIS IPL (Layout Plan),,,,LC-5693A,90 OF 2026,13/05/2026,IPA,29.3125,HISSAR,12/05/2031,NA,Radhe Krishana,View Land Schedule,View
LC-5861,SSK HIS IPA,,,,LC-5861A,155 OF 2026,04/08/2026,IPA,23.43125,HISSAR,03/08/2031,NA,SSK DEVELOPERS,View Land Schedule,View
LC-5781,VASUDHA HIS-2 DDJAY-APHP,,,,LC-5781A,161 OF 2026,10/08/2026,DDJAY-APHP,20.6375,HANSI,09/08/2031,2,Vasudha Associates,View Land Schedule,View
