developer,tier,rera_names,n_projects,emails,phones,licences_cited,hq,is_new
GODREJ PROJECTS DEVELOPMENT LIMITED,,GODREJ PROJECTS DEVELOPMENT LIMITED,1,parkland.estate@godrejproperties.com,,118 OF 2023,,
GBS PROMOTERS & DEVELOPERS PRIVATE LIMITED,,GBS PROMOTERS & DEVELOPERS PRIVATE LIMITED,1,amit.kankerwal12@gmail.com; infrastk@gmail.com; kapil_garg@yahoo.co.in; shergill.randeep22@gmail.com; sourabhgarg15@gmail.com; varindersonu1981@gmail.com,8360468615; 8565000012; 9138137301; 9438505558; 9646060076; 9812428404; 9991641101,,,
Ess Gee Developers And Promoters,C,ESS GEE DEVELOPERS AND PROMOTERS,1,global.infra.pkl@gmail.com; sandeep.aggarwal.rpr@gmail.com,9896363294,12 OF 2023,,
Drvs Realestate Pvt Ltd,C,DRVS REALESTATE PVT LTD,1,aaicd8692c@gmail.com; behps4082n@gmail.com; vsha50942@gmail.com,9896511000; 9896551111; 9996900099,186 OF 2022,,
Decent Infraheights Private Limited,C,DECENT INFRAHEIGHTS PRIVATE LIMITED,1,decentrera@gmail.com,9811198091,59 OF 2022,,1
Decent Infra Retail Llp,C,DECENT INFRA RETAIL LLP,1,79.varungupta@gmail.com; decenntinfraretailllp@gmail.com; decentinfraretailllp@gmail.com; jagrit.divinegoc@gmail.com; jyash1501@gmail.com; nitin.divinegroup@gmail.com; sarthakbathla777@gmail.com; vineetchhabra8@gmail.com,7027777231; 7838675175; 9416600505; 9729256004; 9818436336; 9991489000,205 OF 2025,,1
Daa Home Realtors Private Limited,C,DAA HOME REALTORS PRIVATE LIMITED,1,daahome21@gmail.com; site.daahome@gmail.com,9319558142; 9896253992,105 OF 2021,,1
Box Hive Innovation Pvt. Ltd.,C,BOX HIVE INNOVATION PVT. LTD.,1,boxhiveinnovation11@gmail.com,8396000072,156 OF 2025,,1
Bahadurgarh Townships Pvt. Ltd.,C,BAHADURGARH TOWNSHIPS PVT. LTD.,1,secretarial@jindalrealty.com,8168347359,101 OF 2022,,1
Arnika Developers Llp,C,ARNIKA DEVELOPERS LLP,1,arnikadevelopersllp@gmail.com; ashwanisharma@apexfoams.com; dharmbirkadian1959@gmail.com; kumarharsh236@gmail.com; rakeshshm26@gmail.com,8814899425; 9416012592; 9416013524; 9991061574,147 OF 2022,,
"Antique India Pvt Ltd In Collaboration With Sultan Singh, Multan Singh, Kehar Singh",C,"ANTIQUE INDIA PVT LTD IN COLLABORATION WITH SULTAN SINGH, MULTAN SINGH, KEHAR SINGH",1,abhi_jasrasaria@rediffmail.com; abhijasrasaria@rediffmail.com,8810301192; 9435049948; 9706442376; 9810002501,10 OF 2018,,
